sample_id,date,prec_Ca,prec_Ca_pct05,prec_Ca_pct25,prec_Ca_pct75,prec_Ca_pct95,prec_Mg,prec_Mg_pct05,prec_Mg_pct25,prec_Mg_pct75,prec_Mg_pct95,prec_Na,prec_Na_pct05,prec_Na_pct25,prec_Na_pct75,prec_Na_pct95,prec_Cl,prec_Cl_pct05,prec_Cl_pct25,prec_Cl_pct75,prec_Cl_pct95,bslt_Ca,bslt_Ca_pct05,bslt_Ca_pct25,bslt_Ca_pct75,bslt_Ca_pct95,bslt_Mg,bslt_Mg_pct05,bslt_Mg_pct25,bslt_Mg_pct75,bslt_Mg_pct95,bslt_Na,bslt_Na_pct05,bslt_Na_pct25,bslt_Na_pct75,bslt_Na_pct95,bslt_Cl,bslt_Cl_pct05,bslt_Cl_pct25,bslt_Cl_pct75,bslt_Cl_pct95,carb_Ca,carb_Ca_pct05,carb_Ca_pct25,carb_Ca_pct75,carb_Ca_pct95,carb_Mg,carb_Mg_pct05,carb_Mg_pct25,carb_Mg_pct75,carb_Mg_pct95,carb_Na,carb_Na_pct05,carb_Na_pct25,carb_Na_pct75,carb_Na_pct95,carb_Cl,carb_Cl_pct05,carb_Cl_pct25,carb_Cl_pct75,carb_Cl_pct95,flsc_Ca,flsc_Ca_pct05,flsc_Ca_pct25,flsc_Ca_pct75,flsc_Ca_pct95,flsc_Mg,flsc_Mg_pct05,flsc_Mg_pct25,flsc_Mg_pct75,flsc_Mg_pct95,flsc_Na,flsc_Na_pct05,flsc_Na_pct25,flsc_Na_pct75,flsc_Na_pct95,flsc_Cl,flsc_Cl_pct05,flsc_Cl_pct25,flsc_Cl_pct75,flsc_Cl_pct95,umfc_Ca,umfc_Ca_pct05,umfc_Ca_pct25,umfc_Ca_pct75,umfc_Ca_pct95,umfc_Mg,umfc_Mg_pct05,umfc_Mg_pct25,umfc_Mg_pct75,umfc_Mg_pct95,umfc_Na,umfc_Na_pct05,umfc_Na_pct25,umfc_Na_pct75,umfc_Na_pct95,umfc_Cl,umfc_Cl_pct05,umfc_Cl_pct25,umfc_Cl_pct75,umfc_Cl_pct95
lawis_river_schopka,NaN,0.383464804,0.271530362,0.322412739,0.486744079,0.590156433,0.121592368,0.068301466,0.093339584,0.151782138,0.178846277,0.491288818,0.272804064,0.395488572,0.558342891,0.630754996,0.661213418,0.379881705,0.530989856,0.864283332,0.968387702,0.461604838,0.341298719,0.396214927,0.528631044,0.570319482,0.419300792,0.246059704,0.355559889,0.483026439,0.598943256,0.12242158,0.019585335,0.059589184,0.181747217,0.224871329,0,0,0,0,0,0.93950424,0.927747874,0.933063477,0.945129952,0.949947908,0.06049576,0.050052092,0.054870048,0.066936523,0.072252126,0,0,0,0,0,0,0,0,0,0,0.243580529,0.040977172,0.118073977,0.376142906,0.538860724,0.159113336,0.05072456,0.099053186,0.22676664,0.268793195,0.599560524,0.287722231,0.453909304,0.702540282,0.845155086,0,0,0,0,0,0.024926304,0.005079952,0.01304891,0.039050607,0.055485924,0.9702661,0.939284216,0.95719257,0.982748469,0.991046482,0.004562827,0.000555591,0.002520222,0.006657954,0.008305827,0,0,0,0,0
bulsa_river_ds_schopka,NaN,0.435790239,0.276476908,0.344435437,0.533285293,0.597884691,0.124901461,0.0697308,0.096121477,0.156023514,0.177697245,0.43961103,0.26069042,0.348181125,0.526313284,0.616626787,0.678400369,0.391183857,0.528462777,0.829286116,0.963395919,0.462744414,0.346394078,0.39719452,0.520574329,0.573017644,0.429610234,0.259601802,0.352846211,0.486624282,0.581771902,0.117113651,0.014122634,0.064001693,0.177736366,0.223468615,0,0,0,0,0,0.938024054,0.92770593,0.932502177,0.944260917,0.949600702,0.061975946,0.050399298,0.055739083,0.067497823,0.07229407,0,0,0,0,0,0,0,0,0,0,0.273651909,0.046381034,0.158811455,0.411884492,0.516138869,0.15326203,0.053328395,0.098523032,0.207014536,0.263554829,0.547528855,0.314096491,0.433509109,0.687817504,0.837691599,0,0,0,0,0,0.115517578,0.010296928,0.0517969,0.191548224,0.246825355,0.880315071,0.748882875,0.804116267,0.944197081,0.985133472,0.004207982,0.000643373,0.002238087,0.006550092,0.008349645,0,0,0,0,0
camiling_river_us_schopka,NaN,0.436443855,0.279323385,0.350501538,0.516675362,0.600304367,0.1252343,0.073425375,0.100506883,0.154820754,0.178399542,0.44031939,0.260331191,0.354678361,0.521382374,0.601237533,0.700680853,0.386244628,0.560909556,0.833766386,0.971894741,0.450892205,0.344244313,0.3967891,0.51847043,0.572321198,0.418967042,0.253726379,0.354795741,0.488629274,0.58048296,0.131179544,0.021255216,0.065881437,0.180744058,0.227391319,0,0,0,0,0,0.938587086,0.927398425,0.932746463,0.945189002,0.949568707,0.061412914,0.050431293,0.054810998,0.067253537,0.072601575,0,0,0,0,0,0,0,0,0,0,0.285339968,0.0458243,0.139278605,0.448411973,0.560293955,0.154311361,0.058470225,0.097660011,0.211679426,0.268093427,0.552822284,0.276815667,0.397527881,0.690243154,0.806955275,0,0,0,0,0,0.123918967,0.016820059,0.062119403,0.191513638,0.245739532,0.87242494,0.749944194,0.802792403,0.933958167,0.977482583,0.004337173,0.000513405,0.002253828,0.006308701,0.008240654,0,0,0,0,0
malabobo_river_schopka,NaN,0.437873004,0.278301308,0.345662318,0.516790521,0.602620266,0.123574096,0.06807674,0.089335297,0.152216235,0.177962667,0.437724147,0.268833314,0.357347663,0.524253578,0.609458335,0.652874762,0.372745515,0.493163707,0.840825939,0.971247434,0.45040994,0.343412911,0.38497488,0.525347116,0.572474026,0.426086382,0.245990179,0.355638051,0.490174844,0.581911984,0.125448731,0.019032478,0.072931316,0.179684181,0.228158822,0,0,0,0,0,0.940057009,0.928161318,0.933840663,0.945563722,0.950315129,0.059942991,0.049684871,0.054436278,0.066159337,0.071838682,0,0,0,0,0,0,0,0,0,0,0.327947922,0.051861033,0.16595412,0.46085358,0.569785946,0.157873343,0.057261922,0.106263512,0.215057359,0.267274871,0.530179571,0.239070251,0.379420839,0.669860663,0.79471646,0,0,0,0,0,0.128517937,0.017702659,0.063853947,0.182702013,0.24314621,0.868046067,0.750560836,0.812588293,0.931451371,0.977166339,0.004169634,0.000502016,0.00216008,0.006140969,0.008132857,0,0,0,0,0
dumoloc_river_schopka,NaN,0.44168539,0.280401353,0.342816499,0.535366141,0.608107769,0.123645571,0.068628682,0.094078267,0.151142095,0.178655341,0.437424879,0.260148122,0.350002623,0.526502475,0.614080205,0.665042531,0.372610038,0.500733463,0.827217615,0.970950847,0.461643397,0.35005848,0.404729185,0.520529108,0.571741042,0.419779457,0.262190582,0.344195884,0.494634358,0.57687012,0.117109085,0.021081265,0.063658817,0.174029954,0.222944393,0,0,0,0,0,0.939908211,0.927939442,0.933332216,0.945710611,0.950104372,0.060091789,0.049895628,0.054289389,0.066667784,0.072060558,0,0,0,0,0,0,0,0,0,0,0.284355131,0.058950904,0.151971515,0.444776989,0.566279797,0.159192609,0.056504483,0.096760123,0.224393925,0.270925035,0.539905415,0.257256669,0.37936342,0.688064096,0.832445133,0,0,0,0,0,0.120007836,0.012700192,0.055308656,0.187950539,0.246981904,0.875399464,0.74740427,0.807319747,0.938650123,0.981359864,0.004337822,0.000360277,0.002015329,0.006798938,0.00833431,0,0,0,0,0
malabobo_river_schopka,NaN,0.458144145,0.286708718,0.358593913,0.550935936,0.610383484,0.124907446,0.068129437,0.096613553,0.1580022,0.179279884,0.41078935,0.253891813,0.31866939,0.519842601,0.604882702,0.650168439,0.37248726,0.507390888,0.81972599,0.954360639,0.456695258,0.343228468,0.39061003,0.512440043,0.571180532,0.420718332,0.259570497,0.362071684,0.492749612,0.585973856,0.118878483,0.015602044,0.06229873,0.178469175,0.227130437,0,0,0,0,0,0.93922047,0.927916941,0.932644902,0.94553634,0.950260754,0.06077953,0.049739246,0.05446366,0.067355098,0.072083059,0,0,0,0,0,0,0,0,0,0,0.320965572,0.056515378,0.174603827,0.46500075,0.570415632,0.157217672,0.052486425,0.098578592,0.220712557,0.270986956,0.511981367,0.247252351,0.38201044,0.672210664,0.811178638,0,0,0,0,0,0.128655594,0.015689291,0.06534553,0.191262684,0.246642571,0.864280826,0.746994647,0.805311754,0.930810619,0.979012073,0.004681242,0.000509296,0.002496543,0.006616662,0.008384658,0,0,0,0,0
malabobo_river_schopka,NaN,0.432115761,0.282567846,0.350228933,0.511595381,0.594008042,0.12616001,0.070963537,0.095376853,0.152848339,0.178525906,0.444078267,0.274389666,0.349790526,0.523137243,0.612826293,0.676460557,0.376967058,0.521360045,0.838957851,0.980403228,0.46676205,0.349488433,0.400027978,0.531688728,0.571893531,0.416831951,0.241684478,0.344141512,0.486465393,0.577460439,0.120266586,0.020113399,0.062496203,0.184965803,0.224962268,0,0,0,0,0,0.939098212,0.927925662,0.932931113,0.945387744,0.94996742,0.060901788,0.05003258,0.054612256,0.067068887,0.072074338,0,0,0,0,0,0,0,0,0,0,0.302790439,0.041305455,0.15534057,0.452037397,0.565972154,0.164914562,0.056464041,0.106930684,0.222380968,0.270485586,0.519076187,0.239986003,0.382656513,0.679781915,0.839465663,0,0,0,0,0,0.127292114,0.013946533,0.062887273,0.189536653,0.244575487,0.868015551,0.750524577,0.805464413,0.93245448,0.982206881,0.004029347,0.000289315,0.002182447,0.006176978,0.00829561,0,0,0,0,0
lawis_river_schopka,NaN,0.363803783,0.269301947,0.306968737,0.448367788,0.583116834,0.119362293,0.068609903,0.093742925,0.152792747,0.178880468,0.509333799,0.298438996,0.425847293,0.571179216,0.627497264,0.730102217,0.434494788,0.589606923,0.872720204,0.971451584,0.462428778,0.345267462,0.394777774,0.523509088,0.57449149,0.415859302,0.259866976,0.34004715,0.486209249,0.576554272,0.1295823,0.019891981,0.066804848,0.17822447,0.222745827,0,0,0,0,0,0.938898857,0.928139288,0.932756121,0.945242811,0.949993665,0.061101143,0.050006335,0.054757189,0.067243879,0.071860712,0,0,0,0,0,0,0,0,0,0,0.218673252,0.034527217,0.103941296,0.336953188,0.512955889,0.142827158,0.049727393,0.087154252,0.213220078,0.267957241,0.63814774,0.325640297,0.504092917,0.733470848,0.863657054,0,0,0,0,0,0.014490012,0.004097643,0.008607029,0.023254003,0.034541437,0.981019977,0.96072995,0.972076427,0.986564195,0.992487659,0.004321052,0.000464031,0.002350592,0.00639119,0.008183638,0,0,0,0,0
lawis_river_schopka,NaN,0.386597069,0.271516226,0.317010387,0.488834296,0.587786701,0.120404245,0.069710743,0.091773244,0.148620017,0.177049314,0.483164639,0.278457216,0.382927209,0.55831118,0.627193052,0.701791531,0.389370231,0.534471933,0.845046292,0.983062777,0.471450019,0.348802677,0.39985943,0.526335217,0.570351479,0.421758979,0.258975507,0.349317302,0.489844664,0.593842437,0.109242231,0.013780699,0.05412971,0.169670543,0.2230979,0,0,0,0,0,0.938118812,0.927702578,0.93273519,0.944927395,0.949951414,0.061881188,0.050048586,0.055072605,0.06726481,0.072297422,0,0,0,0,0,0,0,0,0,0,0.214878421,0.042962146,0.114027201,0.364304209,0.514642042,0.157481222,0.051285871,0.106733909,0.212618781,0.267170405,0.635092337,0.311867985,0.478949178,0.718732778,0.830914066,0,0,0,0,0,0.013062001,0.003827767,0.007198576,0.019949129,0.029517197,0.982150148,0.96449375,0.974797476,0.987510194,0.99291548,0.005104361,0.000484655,0.002853691,0.006974305,0.008367239,0,0,0,0,0
bulsa_river_ds_zam22,NaN,0.429745921,0.274145099,0.350097286,0.521144926,0.602314003,0.123591988,0.068133603,0.093731223,0.155173932,0.177926448,0.440843444,0.270323718,0.346962568,0.525436375,0.624600881,0.655333022,0.369299157,0.510807959,0.8257671,0.973089771,0.462886455,0.345679016,0.398607455,0.52418066,0.572693469,0.414881951,0.235954777,0.340330866,0.476766252,0.58069706,0.130046477,0.01447469,0.065920091,0.190473623,0.228058763,0,0,0,0,0,0.938636833,0.928276424,0.932597755,0.944928573,0.950046746,0.061363167,0.049953254,0.055071427,0.067402245,0.071723576,0,0,0,0,0,0,0,0,0,0,0.287209268,0.052122583,0.150733915,0.417291812,0.541811243,0.147490401,0.055033051,0.092360117,0.216112103,0.264443213,0.54706151,0.324558293,0.420324962,0.684097869,0.834516207,0,0,0,0,0,0.124516188,0.012366494,0.057124179,0.189517371,0.24997425,0.873226916,0.747865827,0.807361948,0.93919486,0.980874369,0.003934205,0.000409988,0.002001881,0.006296364,0.008211828,0,0,0,0,0
