sample_id,Ca,Mg,Na,Cl,Si,Sr,Sr8786_x_Sr,F_Ca_prec,F_Ca_prec_pct25,F_Ca_prec_pct75,F_Mg_prec,F_Mg_prec_pct25,F_Mg_prec_pct75,F_Na_prec,F_Na_prec_pct25,F_Na_prec_pct75,F_Cl_prec,F_Cl_prec_pct25,F_Cl_prec_pct75,F_Si_prec,F_Si_prec_pct25,F_Si_prec_pct75,F_Sr_prec,F_Sr_prec_pct25,F_Sr_prec_pct75,F_Sr8786_x_Sr_prec,F_Sr8786_x_Sr_prec_pct25,F_Sr8786_x_Sr_prec_pct75,F_Ca_bslt,F_Ca_bslt_pct25,F_Ca_bslt_pct75,F_Mg_bslt,F_Mg_bslt_pct25,F_Mg_bslt_pct75,F_Na_bslt,F_Na_bslt_pct25,F_Na_bslt_pct75,F_Cl_bslt,F_Cl_bslt_pct25,F_Cl_bslt_pct75,F_Si_bslt,F_Si_bslt_pct25,F_Si_bslt_pct75,F_Sr_bslt,F_Sr_bslt_pct25,F_Sr_bslt_pct75,F_Sr8786_x_Sr_bslt,F_Sr8786_x_Sr_bslt_pct25,F_Sr8786_x_Sr_bslt_pct75,F_Ca_carb,F_Ca_carb_pct25,F_Ca_carb_pct75,F_Mg_carb,F_Mg_carb_pct25,F_Mg_carb_pct75,F_Na_carb,F_Na_carb_pct25,F_Na_carb_pct75,F_Cl_carb,F_Cl_carb_pct25,F_Cl_carb_pct75,F_Si_carb,F_Si_carb_pct25,F_Si_carb_pct75,F_Sr_carb,F_Sr_carb_pct25,F_Sr_carb_pct75,F_Sr8786_x_Sr_carb,F_Sr8786_x_Sr_carb_pct25,F_Sr8786_x_Sr_carb_pct75,F_Ca_flsc,F_Ca_flsc_pct25,F_Ca_flsc_pct75,F_Mg_flsc,F_Mg_flsc_pct25,F_Mg_flsc_pct75,F_Na_flsc,F_Na_flsc_pct25,F_Na_flsc_pct75,F_Cl_flsc,F_Cl_flsc_pct25,F_Cl_flsc_pct75,F_Si_flsc,F_Si_flsc_pct25,F_Si_flsc_pct75,F_Sr_flsc,F_Sr_flsc_pct25,F_Sr_flsc_pct75,F_Sr8786_x_Sr_flsc,F_Sr8786_x_Sr_flsc_pct25,F_Sr8786_x_Sr_flsc_pct75,F_Ca_umfc,F_Ca_umfc_pct25,F_Ca_umfc_pct75,F_Mg_umfc,F_Mg_umfc_pct25,F_Mg_umfc_pct75,F_Na_umfc,F_Na_umfc_pct25,F_Na_umfc_pct75,F_Cl_umfc,F_Cl_umfc_pct25,F_Cl_umfc_pct75,F_Si_umfc,F_Si_umfc_pct25,F_Si_umfc_pct75,F_Sr_umfc,F_Sr_umfc_pct25,F_Sr_umfc_pct75,F_Sr8786_x_Sr_umfc,F_Sr8786_x_Sr_umfc_pct25,F_Sr8786_x_Sr_umfc_pct75,F_Ca_clay,F_Ca_clay_pct25,F_Ca_clay_pct75,F_Mg_clay,F_Mg_clay_pct25,F_Mg_clay_pct75,F_Na_clay,F_Na_clay_pct25,F_Na_clay_pct75,F_Cl_clay,F_Cl_clay_pct25,F_Cl_clay_pct75,F_Si_clay,F_Si_clay_pct25,F_Si_clay_pct75,F_Sr_clay,F_Sr_clay_pct25,F_Sr_clay_pct75,F_Sr8786_x_Sr_clay,F_Sr8786_x_Sr_clay_pct25,F_Sr8786_x_Sr_clay_pct75,F_norm_prec,F_norm_25_prec,F_norm_75_prec,F_norm_bslt,F_norm_25_bslt,F_norm_75_bslt,F_norm_carb,F_norm_25_carb,F_norm_75_carb,F_norm_flsc,F_norm_25_flsc,F_norm_75_flsc,F_norm_umfc,F_norm_25_umfc,F_norm_75_umfc,F_norm_clay,F_norm_25_clay,F_norm_75_clay
lawis_river_schopka,63,833,55,39,390,0.137,0.70383,0.368394417,0.290809223,0.502744146,0.007856801,0.00580616,0.010186914,0.433311602,0.331141672,0.581939001,0.999999618,0.981457022,1.004519138,0,0,0,1.273173056,0.570173353,2.685770563,1.282896599,0.574506866,2.706241095,3.625689432,1.857987785,5.113651578,0.271419545,0.125754144,0.424770883,0.716415844,0.277699255,1.416417909,0,0,0,2.615223458,1.397584527,3.665297828,0.911288992,0.438869726,1.612333808,0.912138359,0.439427755,1.612338014,1.825297802,0.681001752,3.813632365,0.008676302,0.00311443,0.018301164,0,0,0,0,0,0,0.002837864,0.000961527,0.00581452,1.156783603,0.398362587,2.364935322,1.165323207,0.400858115,2.38181436,0.244033188,0.061635077,0.743281482,0.01377655,0.004342886,0.030140331,0.81995003,0.293961749,1.59914232,0,0,0,1.025722681,0.290712812,1.787263767,0.975757557,0.281484994,2.036566518,0.975760132,0.281792234,2.037451156,1.204372038,0.579356017,2.035029025,0.852169227,0.649729513,0.965744107,0.060017888,0.030055359,0.094145745,0,0,0,1.314998124,0.959124063,1.862125354,6.868566806,4.479073783,9.491651952,6.860856767,4.475886272,9.493634288,-7.621479268,-9.706746663,-5.378263077,-0.143314237,-0.258690834,-0.076830421,-1.332308343,-2.184926226,-0.702763261,0,0,0,-4.277101938,-5.513093615,-2.977450104,-12.02692026,-15.78816337,-8.524006882,-12.05341107,-15.81603016,-8.529400275,0.056337578,0.046170555,0.075008878,0.54688402,0.26844228,0.792237448,0.128591399,0.048105109,0.268180449,0.088515204,0.029219348,0.171430756,0.860622516,0.643267886,0.99993652,-0.777928221,-0.974682813,-0.565919207
bulsa_river_ds_schopka,500,612,358,41,632,0.6,0.70433,0.050925923,0.039365585,0.067028117,0.012025579,0.008917077,0.015447958,0.070965183,0.053261608,0.089480993,0.999999376,0.999757958,1.000085282,0,0,0,0.584518187,0.234743976,0.977987984,0.588540568,0.236393189,0.984651187,0.846421884,0.479990021,1.145467318,0.629231691,0.400026489,0.854412685,0.301569547,0.092682366,0.556767683,0,0,0,2.683976545,1.795814847,3.463910227,0.414673849,0.224578222,0.714776707,0.413916815,0.224527641,0.713830966,1.166470577,0.788675019,1.681362581,0.06198795,0.04097353,0.089010006,0,0,0,0,0,0,0.008508012,0.005886565,0.01212785,1.25397912,0.864020453,1.82713247,1.260968115,0.869128954,1.83845857,0.196860347,0.083998128,0.414454078,0.112447359,0.05909048,0.207612543,0.921738053,0.607058922,1.170335487,0,0,0,2.648308789,1.875837638,3.695156866,1.375151323,0.895911796,2.030478654,1.373749835,0.895815773,2.027358249,0.094992365,0.03719546,0.19212451,0.621689476,0.36330378,1.004070995,0.004448961,0.00174202,0.008463411,0,0,0,0.493475763,0.263482685,0.779527511,1.650510816,0.83687469,2.500496399,1.650171568,0.838530419,2.497604267,-1.537575301,-1.907031983,-1.192102154,-0.499563826,-0.787425084,-0.290560453,-0.299581755,-0.559537917,-0.145798246,0,0,0,-5.073898812,-5.987169058,-4.17884253,-4.944768478,-6.028875659,-3.761285472,-4.956902059,-6.039982956,-3.768255259,0.037791696,0.032493244,0.048867935,0.647341988,0.401712143,0.888014394,0.422803185,0.283839704,0.607610048,0.364246999,0.245328758,0.497519331,0.301779811,0.170953597,0.492573528,-0.908978575,-0.99999878,-0.743689355
camiling_river_us_schopka,460,842,213,33,603,0.423,0.70394,0.045290093,0.034496092,0.05614924,0.006994256,0.005117268,0.008804416,0.093016171,0.070528311,0.127323374,0.999999274,0.998306364,1.000002719,0,0,0,0.573755724,0.263326137,1.063100057,0.578032027,0.265270962,1.071105541,1.055308935,0.747917877,1.343711511,0.526060702,0.320442367,0.666710834,0.589828522,0.267192032,0.98494148,0,0,0,3.224497735,2.37093228,4.178676522,0.639127219,0.372530374,1.035189797,0.638665889,0.372829383,1.034612924,1.111884586,0.654677513,1.555717913,0.038711377,0.022605886,0.055067553,0,0,0,0,0,0,0.007914203,0.004613884,0.01136354,1.628669174,0.943906636,2.287355737,1.639016192,0.950447507,2.302663501,0.123752108,0.033355669,0.301135678,0.050561144,0.018100054,0.092688873,0.800148763,0.350935337,1.223737999,0,0,0,1.837040123,0.905480183,2.924941643,1.113654866,0.522746809,1.89121237,1.113177594,0.522911918,1.890631212,0.170135624,0.070145822,0.33448667,0.731272432,0.442251886,1.034170927,0.012423628,0.005891481,0.022329772,0,0,0,0.815019299,0.481834697,1.295908774,3.413801657,2.309204363,4.669651009,3.41492961,2.308125615,4.667026057,-1.585880017,-2.081873859,-1.25233838,-0.363492869,-0.590966337,-0.196332062,-0.529083284,-0.87782657,-0.255482113,0,0,0,-5.127555004,-6.15936436,-4.132877071,-7.098167782,-8.666695617,-5.41731272,-7.113839768,-8.680853055,-5.427747974,0.029937881,0.025097134,0.038742275,0.72542812,0.501731967,0.920879044,0.357645557,0.209879176,0.503853787,0.197774972,0.093975857,0.31007555,0.476022775,0.289161149,0.679632376,-0.85496933,-0.999991762,-0.679944623
malabobo_river_schopka,546,792,203,40,552,0.467,0.70381,0.046801172,0.036537103,0.059637276,0.009133284,0.006624871,0.012352005,0.117825916,0.09037771,0.160565871,0.999998971,0.995025155,1.000000462,0,0,0,0.61333991,0.258575222,1.12660488,0.618082565,0.260550757,1.135305678,0.957460686,0.65680744,1.210539974,0.560318201,0.371563813,0.740486576,0.615790796,0.249736236,1.032910042,0,0,0,3.674466149,2.738211894,4.634888766,0.654357039,0.327493849,0.998329181,0.65468293,0.327667956,0.999110312,0.958621651,0.618646848,1.330924406,0.043021781,0.027700783,0.060787021,0,0,0,0,0,0,0.009137214,0.005894232,0.012654415,1.490288845,0.97918503,2.023617897,1.499927744,0.986460357,2.037880024,0.10743899,0.02338003,0.292357869,0.048185409,0.013271771,0.110131464,0.80911856,0.265954208,1.361209621,0,0,0,1.922783832,0.752624917,3.206920003,0.976989849,0.310343451,1.87516986,0.976061346,0.310141416,1.873235456,0.126890995,0.055875865,0.238390293,0.694618946,0.450639726,1.043689085,0.012421525,0.00481171,0.022460345,0,0,0,0.771735882,0.489267113,1.248241387,3.067501279,1.981120029,4.33517791,3.064989801,1.977254754,4.328277587,-1.299808572,-1.685537949,-0.986702773,-0.425630339,-0.655042616,-0.244279824,-0.597229133,-0.983221196,-0.313688499,0,0,0,-5.701607696,-6.884079494,-4.570185932,-6.426036381,-8.233662835,-4.847087042,-6.443427623,-8.256057253,-4.850347123,0.036030518,0.030019528,0.047951169,0.764368057,0.51756703,0.953546432,0.363660951,0.234372443,0.505116245,0.19697993,0.062978186,0.345714047,0.41815684,0.269537975,0.601959848,-0.84891202,-0.999975884,-0.671253622
dumoloc_river_schopka,698,1000,294,50,885,0.469,0.70433,0.043902947,0.034360372,0.056145399,0.0085568,0.00645146,0.011586379,0.103261656,0.076282124,0.133765028,0.999999251,0.998773218,1.000000345,0,0,0,0.796463555,0.346112752,1.571195193,0.801954562,0.348465196,1.582131535,0.969113709,0.645122263,1.193711806,0.571692614,0.398337006,0.776938647,0.583075002,0.234133023,0.951272359,0,0,0,2.977917095,2.176312986,3.773377804,0.878643857,0.487958295,1.332327951,0.878380152,0.487428679,1.33143301,1.091359778,0.653531804,1.491639529,0.048592661,0.029643317,0.06785891,0,0,0,0,0,0,0.007758356,0.005039528,0.011485165,2.128131564,1.303052811,2.949382273,2.141791343,1.310343883,2.968810293,0.123132097,0.042560176,0.274398904,0.053162827,0.023824019,0.098233607,0.805501411,0.361124008,1.182930392,0,0,0,1.636876752,0.847851853,2.760858997,1.404863919,0.703278157,2.235190446,1.403341467,0.702507041,2.235267559,0.129033787,0.054147456,0.230913246,0.669546696,0.394078036,1.003519066,0.009166796,0.004005192,0.018196959,0,0,0,0.594565073,0.358612568,0.942807632,3.2925096,1.904941866,4.661226168,3.28620619,1.905365504,4.656380838,-1.394830532,-1.777618559,-1.058356437,-0.399799603,-0.640368777,-0.223906111,-0.516651728,-0.856247315,-0.244258105,0,0,0,-4.555713762,-5.486518046,-3.582685338,-8.110269241,-10.30025853,-6.293859634,-8.124215777,-10.30646681,-6.305144701,0.034181291,0.028487208,0.043853733,0.758770176,0.509259325,0.942691585,0.406858231,0.243492614,0.555590721,0.206335445,0.10124484,0.312186831,0.392985041,0.2244208,0.583027887,-0.86189746,-0.999990694,-0.649334268
malabobo_river_schopka,589,837,206,29,605,0.464,0.70383,0.030564219,0.02415815,0.038587185,0.006018493,0.004629651,0.007640044,0.087164353,0.071495107,0.116696115,0.99999917,0.999096195,1.000000319,0,0,0,0.521946999,0.219100359,0.980404979,0.525965023,0.220790313,0.987868717,0.874250806,0.580699953,1.13709891,0.529131512,0.316803366,0.714716735,0.657514536,0.253129135,1.078254347,0,0,0,3.466501965,2.394160399,4.426238393,0.666604953,0.343988072,1.044951795,0.666609985,0.344178945,1.044636985,1.008500096,0.644041356,1.406331385,0.047352799,0.028809712,0.065323395,0,0,0,0,0,0,0.00923634,0.005748927,0.012946448,1.612861467,1.091435165,2.356205021,1.624900156,1.099055369,2.372505099,0.105440166,0.028054746,0.264927196,0.041996462,0.015265435,0.085399789,0.859580332,0.269074022,1.345119273,0,0,0,1.865032116,0.716175472,2.961342057,1.069100303,0.371934328,1.671436279,1.069645559,0.371901036,1.671549512,0.148243293,0.063658187,0.291486867,0.787559651,0.473931385,1.139720609,0.012167584,0.005543198,0.024671769,0,0,0,0.809264614,0.509937071,1.317550954,3.445268339,2.108804465,4.647304197,3.444912901,2.107542439,4.64989181,-1.229876975,-1.642397932,-0.966461285,-0.451631584,-0.666767896,-0.25129106,-0.608768505,-1.016236203,-0.304406772,0,0,0,-5.371101578,-6.52751802,-4.24206729,-6.913349582,-8.442369875,-5.1764582,-6.924481313,-8.460571201,-5.183093247,0.024194302,0.020829261,0.031719434,0.726355875,0.479369685,0.922816759,0.389219576,0.247095607,0.541379931,0.185263662,0.071755044,0.299075447,0.477655785,0.271821388,0.672914366,-0.850595091,-0.999982995,-0.64949848
malabobo_river_schopka,581,842,191,23,614,0.462,0.70377,0.024749427,0.019918298,0.032348253,0.004829425,0.003628931,0.006247347,0.071490209,0.054231229,0.097803125,0.999998986,0.998476906,1.000000126,0,0,0,0.468207543,0.232470647,0.913590047,0.471811208,0.234274235,0.920604132,0.898455884,0.574085587,1.147399136,0.5360295,0.331996538,0.700014043,0.697620423,0.265467802,1.128970128,0,0,0,3.268704618,2.369793967,4.307793008,0.631218921,0.351197051,1.065600473,0.631114389,0.351574847,1.065324715,0.982599023,0.646548165,1.404803544,0.044076484,0.029073112,0.062223582,0,0,0,0,0,0,0.008688807,0.005805488,0.012271356,1.706147955,1.072622382,2.274166015,1.719153356,1.080162106,2.288878813,0.087279141,0.02590096,0.245056191,0.041379029,0.014289029,0.086874352,0.865448558,0.366445972,1.351850763,0,0,0,1.755175526,0.716988122,2.778211093,0.949477624,0.390764791,1.700615727,0.949166737,0.390878406,1.701511755,0.126854495,0.044197422,0.246071856,0.775301288,0.469270533,1.084689398,0.012937974,0.005992603,0.024122092,0,0,0,0.79555079,0.470377104,1.292534025,3.249298665,2.049094353,4.334391011,3.246244717,2.047137201,4.334741536,-1.215357021,-1.574860648,-0.923865011,-0.429020035,-0.632367353,-0.253891053,-0.616261461,-1.051565733,-0.328951813,0,0,0,-5.222501881,-6.317943431,-3.958776132,-6.653933662,-8.235747871,-4.879306433,-6.65942684,-8.245587499,-4.890636556,0.020006124,0.016607063,0.025017644,0.723715551,0.48723284,0.915493406,0.376411517,0.248936881,0.538182194,0.18309461,0.071618943,0.303204062,0.447040043,0.285709699,0.648491333,-0.819545046,-0.99259469,-0.626289592
lawis_river_schopka,44,850,51,41,421,0.061,0.70488,0.559126693,0.410442155,0.714003213,0.007888599,0.006065699,0.010989687,0.497402956,0.380959703,0.614488297,0.999998531,0.989206578,1.002866614,0,0,0,4.448237858,1.945258165,8.042771574,4.475703365,1.957291558,8.092330776,5.070911944,2.488212231,7.264814806,0.251857932,0.110077374,0.415239908,0.752800991,0.269275012,1.401608923,0,0,0,2.501939794,1.235236762,3.467594231,1.915457376,1.008200386,3.607835345,1.912507151,1.005805187,3.604501872,3.72411171,1.233912619,6.356397946,0.012559875,0.004199384,0.021971617,0,0,0,0,0,0,0.003708944,0.001225624,0.00631123,3.51103279,1.150297468,6.438888055,3.530164264,1.156756117,6.476298798,0.400507161,0.119846408,0.951251545,0.015658051,0.006055335,0.033353725,1.095742325,0.420411438,2.125202247,0,0,0,1.000529883,0.42539588,2.032678829,2.441619288,1.007910893,4.874104124,2.439289427,1.006497635,4.865936945,1.476357135,0.665988313,2.965402361,0.830555077,0.6214029,0.929197031,0.058022183,0.028026082,0.093469926,0,0,0,1.216574476,0.873521679,1.718610097,13.05038298,8.387454203,19.51761162,13.04968617,8.371981798,19.53846374,-11.78061386,-14.54919328,-8.463249737,-0.120453384,-0.212273145,-0.054842954,-1.792575472,-2.704081514,-0.987092306,0,0,0,-4.207497553,-5.114915688,-3.072092193,-28.63145622,-36.3189781,-21.16601167,-28.68300457,-36.32571165,-21.19407537,0.057472473,0.048726306,0.076812995,0.550042667,0.25526452,0.810274073,0.184534256,0.06088277,0.316738212,0.107473831,0.042002152,0.192269058,0.851327673,0.638995561,0.997663333,-0.81327973,-0.999419716,-0.629010328
lawis_river_schopka,53,1291,55,38,729,0.072,0.70527,0.445438666,0.34649635,0.57344128,0.005094998,0.003855331,0.006623073,0.409251133,0.318936311,0.532501591,0.999994841,0.993816718,1.003337005,0,0,0,5.052823228,2.452356021,9.373070417,5.081091819,2.466001467,9.424979202,5.612268475,2.837673877,8.707335866,0.229573356,0.099069562,0.38844211,0.89743088,0.316182544,1.785473711,0,0,0,1.973534479,0.920950434,2.981855921,2.340956821,1.102706649,4.483918796,2.334686803,1.10131037,4.477186036,4.624457759,1.73733615,7.990511065,0.011870186,0.004754899,0.020931469,0,0,0,0,0,0,0.003116971,0.001190509,0.005572007,4.444321392,1.744981041,7.971133168,4.465019587,1.753017918,8.011487659,0.460882583,0.114806375,1.103604266,0.012284425,0.003839725,0.03014301,1.34961637,0.426638972,2.650293747,0,0,0,0.828469657,0.277767761,1.57811085,2.919779374,0.997480751,5.714958612,2.910796948,0.996728473,5.698743939,1.976825381,0.915634267,3.548363194,0.842861423,0.678996796,0.94224555,0.084852823,0.037579756,0.142136841,0,0,0,1.156344614,0.801265748,1.665062198,15.67914591,8.694501985,23.25287286,15.6377139,8.693218732,23.24225911,-13.89051244,-17.95990815,-9.507782249,-0.114145987,-0.220279734,-0.044647103,-2.263100092,-3.505149655,-1.134175989,0,0,0,-3.481385016,-4.352637717,-2.386493115,-34.7916603,-43.48563323,-23.47705321,-34.87485896,-43.51747349,-23.52091188,0.036955481,0.031845829,0.046556921,0.49445236,0.232183224,0.770017698,0.186654822,0.070391238,0.323524796,0.094733067,0.028434188,0.185825402,0.908897899,0.714398617,0.999925013,-0.803661461,-0.967237943,-0.5646348
bulsa_river_ds_zam22,481.2116373,580.0452582,326.7540444,57.25890616,526.6334342,NaN,0.704422768,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
