sample_id,Ca,Mg,Na,Cl,Si,F_Ca_prec,F_Ca_prec_pct25,F_Ca_prec_pct75,F_Mg_prec,F_Mg_prec_pct25,F_Mg_prec_pct75,F_Na_prec,F_Na_prec_pct25,F_Na_prec_pct75,F_Cl_prec,F_Cl_prec_pct25,F_Cl_prec_pct75,F_Si_prec,F_Si_prec_pct25,F_Si_prec_pct75,F_Ca_bslt,F_Ca_bslt_pct25,F_Ca_bslt_pct75,F_Mg_bslt,F_Mg_bslt_pct25,F_Mg_bslt_pct75,F_Na_bslt,F_Na_bslt_pct25,F_Na_bslt_pct75,F_Cl_bslt,F_Cl_bslt_pct25,F_Cl_bslt_pct75,F_Si_bslt,F_Si_bslt_pct25,F_Si_bslt_pct75,F_Ca_carb,F_Ca_carb_pct25,F_Ca_carb_pct75,F_Mg_carb,F_Mg_carb_pct25,F_Mg_carb_pct75,F_Na_carb,F_Na_carb_pct25,F_Na_carb_pct75,F_Cl_carb,F_Cl_carb_pct25,F_Cl_carb_pct75,F_Si_carb,F_Si_carb_pct25,F_Si_carb_pct75,F_Ca_flsc,F_Ca_flsc_pct25,F_Ca_flsc_pct75,F_Mg_flsc,F_Mg_flsc_pct25,F_Mg_flsc_pct75,F_Na_flsc,F_Na_flsc_pct25,F_Na_flsc_pct75,F_Cl_flsc,F_Cl_flsc_pct25,F_Cl_flsc_pct75,F_Si_flsc,F_Si_flsc_pct25,F_Si_flsc_pct75,F_Ca_umfc,F_Ca_umfc_pct25,F_Ca_umfc_pct75,F_Mg_umfc,F_Mg_umfc_pct25,F_Mg_umfc_pct75,F_Na_umfc,F_Na_umfc_pct25,F_Na_umfc_pct75,F_Cl_umfc,F_Cl_umfc_pct25,F_Cl_umfc_pct75,F_Si_umfc,F_Si_umfc_pct25,F_Si_umfc_pct75,F_Ca_clay,F_Ca_clay_pct25,F_Ca_clay_pct75,F_Mg_clay,F_Mg_clay_pct25,F_Mg_clay_pct75,F_Na_clay,F_Na_clay_pct25,F_Na_clay_pct75,F_Cl_clay,F_Cl_clay_pct25,F_Cl_clay_pct75,F_Si_clay,F_Si_clay_pct25,F_Si_clay_pct75,F_norm_prec,F_norm_25_prec,F_norm_75_prec,F_norm_bslt,F_norm_25_bslt,F_norm_75_bslt,F_norm_carb,F_norm_25_carb,F_norm_75_carb,F_norm_flsc,F_norm_25_flsc,F_norm_75_flsc,F_norm_umfc,F_norm_25_umfc,F_norm_75_umfc,F_norm_clay,F_norm_25_clay,F_norm_75_clay
lawis_river_schopka,63,833,55,39,390,0.414964787,0.310341835,0.556308829,0.008917496,0.006574775,0.01165519,0.471862003,0.366701988,0.634162739,1.000000127,0.999999906,1.000516332,0,0,0,1.716931595,0.48095359,3.030789604,0.118331214,0.031384581,0.212456232,0.42375074,0.105142469,0.866293558,0,0,0,1.253921222,0.361519021,2.292352843,2.377044992,0.540090342,4.846498989,0.011585257,0.002607595,0.023130229,0,0,0,0,0,0,0.003291004,0.000906824,0.007216414,0.221706684,0.040507196,0.563372592,0.011470127,0.003341705,0.026052472,0.594618327,0.199967966,1.35333428,0,0,0,0.808721256,0.270828102,1.753358374,1.461931606,0.744409323,2.354224252,0.945011228,0.866052116,1.010766558,0.06647129,0.034760994,0.103348082,0,0,0,1.730867773,1.17883117,2.218719055,-6.909081525,-9.298670882,-3.444285864,-0.113825378,-0.203736457,-0.056805704,-0.848965705,-1.878986057,-0.349031006,0,0,0,-3.318813455,-4.714780221,-2.015662624,0.063192859,0.049415849,0.083058694,0.258834739,0.075525204,0.443073728,0.166574725,0.038242563,0.339757126,0.067337144,0.021254966,0.15393033,0.961044464,0.887179771,0.99999845,-0.659546783,-0.877774821,-0.355975152
bulsa_river_ds_schopka,500,612,358,41,632,0.056132474,0.043113974,0.077315508,0.012735468,0.009493403,0.017678341,0.078438717,0.06084041,0.102213071,0.999999949,0.999999875,1.000116085,0,0,0,0.270590461,0.068463583,0.470347291,0.202253731,0.057766911,0.353077632,0.08333632,0.011928182,0.240727831,0,0,0,1.090732419,0.291041997,1.587393357,1.597690852,1.192174534,2.051613102,0.083463654,0.060850695,0.109983718,0,0,0,0,0,0,0.012004292,0.008728895,0.01563455,0.224875733,0.098591183,0.441763803,0.139295225,0.079665687,0.224020016,1.013378868,0.854475173,1.264403026,0,0,0,3.358030939,2.521941292,4.387689545,0.152757238,0.068110362,0.268931507,0.924516379,0.669360515,1.28532066,0.006625644,0.003205638,0.011598828,0,0,0,0.724351479,0.49158732,1.090201357,-1.51293149,-1.886468819,-1.161918586,-0.445982558,-0.778327137,-0.203367837,-0.259060228,-0.485859128,-0.11947574,0,0,0,-4.449872738,-5.332700263,-3.54689267,0.043634815,0.034156656,0.059699731,0.207703035,0.055382094,0.359092589,0.577038222,0.431961213,0.74786754,0.404896042,0.321794458,0.540084491,0.450677612,0.32379451,0.621653864,-0.835579305,-0.973392928,-0.706153597
camiling_river_us_schopka,460,842,213,33,603,0.048884245,0.037191398,0.066710332,0.007369128,0.005592186,0.010241752,0.100795876,0.077361727,0.131680125,0.999999914,0.99999983,1.000000039,0,0,0,0.416542419,0.137314452,0.619589658,0.198900202,0.070120189,0.312737356,0.196756488,0.032082065,0.470439933,0,0,0,1.405463259,0.563163005,1.933537268,1.514088299,1.065395587,2.004810948,0.053013114,0.038592523,0.069975971,0,0,0,0,0,0,0.011036101,0.007594123,0.014484607,0.152505937,0.069907122,0.33163088,0.052441626,0.028547882,0.101001148,1.029215925,0.683392977,1.412715548,0,0,0,2.500148133,1.535188414,3.857491469,0.244300243,0.112514034,0.419987641,0.97179995,0.77195856,1.210690232,0.01813502,0.008237082,0.026726638,0,0,0,1.088160614,0.805075469,1.52452756,-1.58402792,-1.986451551,-1.175611777,-0.31785695,-0.541138189,-0.163822728,-0.445533236,-0.806499109,-0.216834094,0,0,0,-4.429876597,-5.540936603,-3.480256433,0.033086786,0.026313392,0.043192673,0.29103897,0.090089446,0.403691481,0.489313754,0.34733415,0.648996544,0.233890922,0.159258915,0.351044473,0.62168175,0.493092577,0.775231053,-0.779436969,-0.931178879,-0.641078162
malabobo_river_schopka,546,792,203,40,552,0.046077341,0.036012338,0.06079507,0.00926855,0.00664859,0.012161471,0.123614217,0.095335033,0.162655662,0.999999949,0.999999873,1.000000147,0,0,0,0.358306839,0.168512978,0.503056321,0.207033002,0.099979009,0.327985932,0.262584224,0.056670675,0.477825459,0,0,0,1.57681634,0.830609079,2.285607804,1.512213026,1.088957378,1.94526153,0.066718569,0.046729258,0.08493867,0,0,0,0,0,0,0.014033466,0.009956244,0.01821946,0.123953698,0.05619513,0.26264847,0.049828885,0.028019422,0.09500701,0.961635735,0.641131554,1.364048976,0,0,0,2.440718964,1.536160951,3.618931526,0.175782291,0.077231446,0.316837439,0.931119791,0.750676877,1.217673849,0.016478669,0.007345253,0.027010999,0,0,0,1.132224513,0.810893931,1.608842043,-1.318058173,-1.692969693,-0.995143503,-0.333004486,-0.572799865,-0.160517323,-0.487598066,-0.796357341,-0.24383758,0,0,0,-4.518746371,-5.719728236,-3.721959075,0.037466956,0.030856669,0.049297904,0.281787987,0.125637453,0.38791417,0.571525638,0.411151066,0.73130534,0.215251665,0.139982643,0.31309911,0.550026426,0.436096453,0.736892587,-0.755007131,-0.920558085,-0.615928518
dumoloc_river_schopka,698,1000,294,50,885,0.045633924,0.035915083,0.061394021,0.009334975,0.007039848,0.012549138,0.113726747,0.084515085,0.147791511,0.999999933,0.999999856,1.000000008,0,0,0,0.393464583,0.176650276,0.55957908,0.250876057,0.113693569,0.368445884,0.276287466,0.069898756,0.487880921,0,0,0,1.398032257,0.706656659,1.936146475,1.372590351,1.016533832,1.822395078,0.061850418,0.045097958,0.080457987,0,0,0,0,0,0,0.010241252,0.007516155,0.013660216,0.130332656,0.049361223,0.278211463,0.064296954,0.03549623,0.11381041,0.92433549,0.593452011,1.287489603,0,0,0,2.210927165,1.427219793,3.193864573,0.183416815,0.086064196,0.350583277,0.929465116,0.732580724,1.215734253,0.014998204,0.007419848,0.02496879,0,0,0,0.893059038,0.618940928,1.312552073,-1.311394755,-1.651354508,-1.021384933,-0.351173652,-0.615145294,-0.169260629,-0.414664714,-0.725017524,-0.186525532,0,0,0,-3.83337293,-4.706700169,-3.027787889,0.037404128,0.029984499,0.049361612,0.319241226,0.1400479,0.408901776,0.511821447,0.379326395,0.682703558,0.225622546,0.144226765,0.343416694,0.549001778,0.415928682,0.693014984,-0.752197419,-0.90949994,-0.615387627
malabobo_river_schopka,589,837,206,29,605,0.03219263,0.024920489,0.042279473,0.006138222,0.004547083,0.008274963,0.092115467,0.069146007,0.120747401,0.99999988,0.999999798,1.000000001,0,0,0,0.364417554,0.1592472,0.524984169,0.220762625,0.102169687,0.335837357,0.275313321,0.067533309,0.530917682,0,0,0,1.496725059,0.822755113,2.223958575,1.430093111,1.069341133,1.87341459,0.061938745,0.047359,0.086063507,0,0,0,0,0,0,0.012997376,0.009639213,0.017184605,0.123378937,0.049167343,0.26674711,0.057531791,0.03062931,0.100043569,0.962344522,0.638613157,1.424162064,0,0,0,2.452757849,1.549662774,3.683303479,0.176897031,0.082512278,0.30990878,0.955082601,0.747338234,1.227008617,0.020079705,0.009236799,0.030393231,0,0,0,1.135480224,0.776057507,1.628362119,-1.268520387,-1.646528286,-0.942038407,-0.361098005,-0.58396416,-0.168559457,-0.456900444,-0.761480623,-0.222532405,0,0,0,-4.536801852,-5.510938078,-3.54794643,0.026492936,0.020985964,0.034748185,0.303033061,0.130243344,0.39870975,0.548638788,0.414041475,0.716753399,0.20686506,0.133314555,0.331192437,0.560808731,0.440367833,0.713959741,-0.770049479,-0.897000656,-0.618739765
malabobo_river_schopka,581,842,191,23,614,0.027385421,0.020309007,0.036426342,0.005177846,0.003782093,0.007176753,0.079510568,0.060060489,0.110954556,0.999999839,0.999999754,0.999999958,0,0,0,0.383692559,0.209706141,0.558121385,0.212572938,0.124827784,0.331849565,0.32334625,0.083084489,0.571900636,0,0,0,1.540293089,0.910222556,2.193938828,1.411438465,1.008299326,1.792598052,0.061736079,0.043692669,0.082046803,0,0,0,0,0,0,0.012498318,0.009014187,0.016218753,0.11222232,0.052028676,0.221697708,0.047626221,0.024477001,0.093350705,0.954806911,0.603052726,1.459296834,0,0,0,2.216685766,1.497858011,3.457994841,0.200058101,0.094727072,0.326035442,1.002835271,0.779057836,1.217604968,0.02168801,0.011674393,0.031728733,0,0,0,1.131258743,0.790034748,1.533037946,-1.252325803,-1.600271123,-0.911141663,-0.387187673,-0.587423117,-0.153096648,-0.464562009,-0.851341759,-0.23756859,0,0,0,-4.293555452,-5.217320148,-3.462633608,0.022550446,0.017738632,0.029052876,0.303288126,0.157308584,0.416416445,0.541199692,0.389118163,0.691401566,0.199789592,0.122539746,0.292892831,0.601152733,0.468547701,0.742369762,-0.740643093,-0.881819489,-0.607439854
lawis_river_schopka,44,850,51,41,421,0.600793668,0.457995308,0.778074545,0.008976892,0.006862832,0.0120526,0.5437173,0.415938569,0.71418885,1.000000269,0.999999779,1.000198226,0,0,0,2.528134296,0.961134788,4.434400613,0.128720066,0.045376486,0.226154994,0.4953407,0.134521329,0.994234455,0,0,0,1.244110298,0.479814448,2.235521813,3.136019535,0.811117523,6.441091986,0.010097473,0.002499531,0.021317155,0,0,0,0,0,0,0.003030456,0.000739205,0.00620524,0.234264653,0.047943453,0.700165442,0.007766089,0.001935656,0.021810575,0.519153856,0.133287553,1.294828045,0,0,0,0.555432442,0.141549444,1.293511978,1.912897296,0.906777418,3.10816703,0.924096377,0.844921778,0.991479172,0.079129405,0.041096903,0.107961634,0,0,0,1.661789584,1.146849337,2.161740072,-9.711948142,-13.02122792,-5.030147406,-0.093710589,-0.185998181,-0.037097483,-0.919034642,-1.799898045,-0.336108091,0,0,0,-2.997504273,-4.178706529,-1.831411767,0.065935667,0.053191463,0.086593783,0.273756167,0.11745336,0.46609681,0.154671047,0.039903179,0.320546599,0.051913662,0.015760997,0.123484044,0.965140576,0.868780338,0.99999936,-0.633128118,-0.858687745,-0.360693498
lawis_river_schopka,53,1291,55,38,729,0.476888042,0.353087421,0.633809211,0.005329211,0.004138173,0.007230811,0.455022099,0.349422622,0.59895228,1.000000153,0.999999695,1.000073529,0,0,0,2.931997897,1.000692533,5.754689538,0.115537963,0.031965676,0.231942294,0.554651551,0.143905631,1.145993463,0,0,0,1.027539475,0.305524337,1.904237876,2.792089736,0.508224237,7.174529266,0.007251296,0.001377107,0.018288791,0,0,0,0,0,0,0.001834537,0.00033674,0.004947531,0.331415411,0.067659779,1.157244318,0.008682705,0.002650248,0.021123246,0.702084045,0.262228927,1.762534083,0,0,0,0.518459851,0.169324794,1.287500612,2.09709755,1.004218464,3.899931205,0.915356855,0.836334273,0.988210076,0.099677017,0.054835134,0.151698252,0,0,0,1.338315904,0.98653052,1.75933938,-10.89140667,-15.98053763,-4.989841469,-0.082434783,-0.15979413,-0.035755775,-1.169937089,-2.648671155,-0.327673364,0,0,0,-2.5031399,-3.558738401,-1.293826436,0.040572351,0.03281746,0.053978658,0.245927868,0.088590854,0.479272853,0.112665261,0.020463615,0.287998296,0.054559611,0.019508422,0.141277745,0.975858123,0.886366861,0.999999411,-0.610185004,-0.840632976,-0.305164015
bulsa_river_ds_zam22,481.2116373,580.0452582,326.7540444,57.25890616,526.6334342,0.08063051,0.062821376,0.104966267,0.018871941,0.014187647,0.024937682,0.116416045,0.091645569,0.167516016,1.000000003,0.999999941,1.000813011,0,0,0,0.312885794,0.084319053,0.572121579,0.235975513,0.071882471,0.40250731,0.10289818,0.01397141,0.303125794,0,0,0,1.328916572,0.448293791,2.131863218,1.521238737,1.048481597,1.939031646,0.079732813,0.055000094,0.103370541,0,0,0,0,0,0,0.012771353,0.008813719,0.016555682,0.200486428,0.086039547,0.457725215,0.129162754,0.066101452,0.203944738,0.957921429,0.697867502,1.17370133,0,0,0,3.539463646,2.40239949,4.596945573,0.148614614,0.065702634,0.272073908,0.938828703,0.642482418,1.312421278,0.007399708,0.003310565,0.013080759,0,0,0,0.857215695,0.511527575,1.268455557,-1.465835707,-1.866042333,-1.121191144,-0.46565439,-0.822552366,-0.214954698,-0.258242366,-0.433793115,-0.135608049,0,0,0,-4.975658178,-6.204008149,-4.067932864,0.066254971,0.051570614,0.084056544,0.264710525,0.071011649,0.399741845,0.559179609,0.386419991,0.715312836,0.365476852,0.269945394,0.491961706,0.448575443,0.310670359,0.645383746,-0.865312018,-0.992589967,-0.683475833
