sample_id,Ca,Mg,Na,Cl,F_Ca_prec,F_Ca_prec_pct25,F_Ca_prec_pct75,F_Mg_prec,F_Mg_prec_pct25,F_Mg_prec_pct75,F_Na_prec,F_Na_prec_pct25,F_Na_prec_pct75,F_Cl_prec,F_Cl_prec_pct25,F_Cl_prec_pct75,F_Ca_bslt,F_Ca_bslt_pct25,F_Ca_bslt_pct75,F_Mg_bslt,F_Mg_bslt_pct25,F_Mg_bslt_pct75,F_Na_bslt,F_Na_bslt_pct25,F_Na_bslt_pct75,F_Cl_bslt,F_Cl_bslt_pct25,F_Cl_bslt_pct75,F_Ca_carb,F_Ca_carb_pct25,F_Ca_carb_pct75,F_Mg_carb,F_Mg_carb_pct25,F_Mg_carb_pct75,F_Na_carb,F_Na_carb_pct25,F_Na_carb_pct75,F_Cl_carb,F_Cl_carb_pct25,F_Cl_carb_pct75,F_Ca_flsc,F_Ca_flsc_pct25,F_Ca_flsc_pct75,F_Mg_flsc,F_Mg_flsc_pct25,F_Mg_flsc_pct75,F_Na_flsc,F_Na_flsc_pct25,F_Na_flsc_pct75,F_Cl_flsc,F_Cl_flsc_pct25,F_Cl_flsc_pct75,F_Ca_umfc,F_Ca_umfc_pct25,F_Ca_umfc_pct75,F_Mg_umfc,F_Mg_umfc_pct25,F_Mg_umfc_pct75,F_Na_umfc,F_Na_umfc_pct25,F_Na_umfc_pct75,F_Cl_umfc,F_Cl_umfc_pct25,F_Cl_umfc_pct75,F_norm_prec,F_norm_25_prec,F_norm_75_prec,F_norm_bslt,F_norm_25_bslt,F_norm_75_bslt,F_norm_carb,F_norm_25_carb,F_norm_75_carb,F_norm_flsc,F_norm_25_flsc,F_norm_75_flsc,F_norm_umfc,F_norm_25_umfc,F_norm_75_umfc
lawis_river_schopka,63,833,55,39,0.370433872,0.276943131,0.491277604,0.008478153,0.006050167,0.011359862,0.494541498,0.382348678,0.652759453,0.999999885,0.988554038,0.999999991,0.014742246,2.13E-06,0.128691525,0.000694396,1.22E-07,0.00789056,0.002820968,3.95E-07,0.028254147,0,0,0,0.021155796,1.96E-06,0.13027313,9.97E-05,9.30E-09,0.00064886,0,0,0,0,0,0,0.102094352,0.033042882,0.217499968,0.005382504,0.002482011,0.010978788,0.379503992,0.226540839,0.520272198,0,0,0,0.327104689,0.171587096,0.509180024,0.970444257,0.951511806,0.978091264,0.068696856,0.037731166,0.10102982,0,0,0,0.061770464,0.047477621,0.077402716,0.002095411,2.84E-07,0.017551948,0.001483511,1.39E-07,0.009224875,0.038449137,0.022104174,0.051250754,0.869447434,0.857604956,0.881014526
bulsa_river_ds_schopka,500,612,358,41,0.052580959,0.041951854,0.069388099,0.012421939,0.009119933,0.016129931,0.073776621,0.056568689,0.095113207,0.999999904,0.999999859,0.999999953,0.237640015,0.152874524,0.284741735,0.163507971,0.083717341,0.229922146,0.066237727,0.014843386,0.123281754,0,0,0,0.260598632,0.093687629,0.395217408,0.014055419,0.004980074,0.021061859,0,0,0,0,0,0,0.286733471,0.134551272,0.539667271,0.126788657,0.074296653,0.21476962,0.8343069,0.785186267,0.881045083,0,0,0,0.104927475,0.041012676,0.186512089,0.662490914,0.581257238,0.745323423,0.005512712,0.002690293,0.008321197,0,0,0,0.041141006,0.033632713,0.052778111,0.182704492,0.107103583,0.215848672,0.094127125,0.034263871,0.143352469,0.362985357,0.28388213,0.465713314,0.315294194,0.269555305,0.359625143
camiling_river_us_schopka,460,842,213,33,0.045883569,0.034304627,0.061090274,0.006994407,0.005374503,0.009387338,0.097891294,0.076944132,0.121938318,0.99999989,0.999999828,0.999999949,0.251722787,0.180746521,0.294578868,0.121693183,0.06441744,0.165880967,0.1282476,0.046591929,0.221376906,0,0,0,0.245510196,0.113041177,0.394188174,0.008695207,0.004081055,0.013695376,0,0,0,0,0,0,0.156128749,0.062830807,0.373745987,0.049330462,0.030043221,0.075855442,0.745029137,0.654690651,0.827473235,0,0,0,0.196290134,0.095311554,0.364044634,0.80188906,0.748141492,0.843014852,0.015162543,0.007757698,0.022758587,0,0,0,0.031087262,0.026125064,0.038833936,0.174475006,0.117164526,0.210070799,0.079568339,0.036482895,0.127137434,0.176081723,0.142324512,0.263907935,0.505698781,0.457975518,0.570051188
malabobo_river_schopka,546,792,203,40,0.048352771,0.037145714,0.065648215,0.009213083,0.006960797,0.012944149,0.130360524,0.098621069,0.175122004,0.999999903,0.999999859,0.999999949,0.253049972,0.22387957,0.287500842,0.161118875,0.110850825,0.214426958,0.191178203,0.10109878,0.27171831,0,0,0,0.352872614,0.224814448,0.457348013,0.015026307,0.009814711,0.020201835,0,0,0,0,0,0,0.13696029,0.058199634,0.286111073,0.046449129,0.028776721,0.077257638,0.64772685,0.555440497,0.755221631,0,0,0,0.161666737,0.072135088,0.253374917,0.751878007,0.697800742,0.800754087,0.014471536,0.007048295,0.020828292,0,0,0,0.039758264,0.030871125,0.052633981,0.207083875,0.172068784,0.232095546,0.132720155,0.085324971,0.172941281,0.157015049,0.122865654,0.224104083,0.44241138,0.397026152,0.494426285
dumoloc_river_schopka,698,1000,294,50,0.047463727,0.035536253,0.06266012,0.009413454,0.006855002,0.012603771,0.11145052,0.088363564,0.149275105,0.999999899,0.99999985,0.999999941,0.263125138,0.226433447,0.296512241,0.162573083,0.109345959,0.215174944,0.147336284,0.061783146,0.231954266,0,0,0,0.329886649,0.185427938,0.448233538,0.014878702,0.008275844,0.019883551,0,0,0,0,0,0,0.149317937,0.059816168,0.326052875,0.063608701,0.03330679,0.100986734,0.710580366,0.624661516,0.801828322,0,0,0,0.143346534,0.058100174,0.244816889,0.742766239,0.683480608,0.798063658,0.012459667,0.005762499,0.01915594,0,0,0,0.037742551,0.030343194,0.050127271,0.205279871,0.167585718,0.232726931,0.123187834,0.069284982,0.167203883,0.187890031,0.143764059,0.265889074,0.423064458,0.382631587,0.477707844
malabobo_river_schopka,589,837,206,29,0.033911083,0.025588382,0.046072308,0.006367926,0.004953516,0.008838753,0.087426009,0.066335451,0.124388807,0.999999852,0.999999793,0.999999908,0.259411314,0.22844871,0.293510879,0.169222838,0.121318778,0.224327047,0.197800479,0.090358273,0.287937729,0,0,0,0.35274376,0.231750971,0.477332645,0.016164945,0.01022877,0.020501182,0,0,0,0,0,0,0.155038539,0.063175196,0.274326501,0.050399683,0.028678144,0.08154601,0.690914719,0.589533128,0.800471927,0,0,0,0.153711477,0.070082768,0.25750393,0.749898248,0.687310175,0.798761456,0.015634533,0.008476572,0.023585841,0,0,0,0.027330781,0.021677606,0.035021533,0.213355846,0.185400538,0.239909529,0.13618571,0.088850331,0.182565219,0.165302188,0.127446214,0.221634973,0.436719577,0.39556527,0.484921074
malabobo_river_schopka,581,842,191,23,0.025014744,0.019635324,0.034027669,0.005030896,0.003840044,0.006680075,0.079127128,0.060187917,0.105645569,0.999999803,0.999999713,0.999999888,0.268255214,0.241033733,0.29976921,0.168087496,0.119649396,0.219767124,0.210326578,0.110008299,0.309318551,0,0,0,0.372838396,0.259588117,0.475431312,0.015953757,0.011133402,0.021328289,0,0,0,0,0,0,0.121473193,0.049119974,0.252844179,0.047090977,0.028045899,0.074834548,0.686999102,0.585737368,0.789497254,0,0,0,0.155168767,0.070959473,0.258698003,0.754865499,0.699921603,0.804643588,0.015058779,0.008250569,0.02331917,0,0,0,0.021066157,0.016985822,0.027332963,0.215794601,0.185848595,0.242637467,0.142580805,0.099153691,0.183028638,0.150917773,0.119112015,0.205288264,0.447066375,0.406200649,0.497974197
lawis_river_schopka,44,850,51,41,0.486785221,0.388606896,0.594766589,0.008183971,0.006065133,0.010285237,0.536960326,0.423711037,0.725452467,0.99999982,0.973802589,0.999999986,1.07E-05,6.05E-07,0.066219265,4.62E-07,3.06E-08,0.002942069,2.29E-06,1.41E-07,0.012974163,0,0,0,1.00E-05,5.36E-07,0.070716977,3.58E-08,1.96E-09,0.000230243,0,0,0,0,0,0,0.094178941,0.030733896,0.210476921,0.003470261,0.001578838,0.007115179,0.349338282,0.154058537,0.483081444,0,0,0,0.280664153,0.16518488,0.447586063,0.978092621,0.957310106,0.983775167,0.070996384,0.038764219,0.106628007,0,0,0,0.059134145,0.049317405,0.073215349,1.03E-06,6.12E-08,0.006313585,4.99E-07,2.67E-08,0.003504612,0.029495285,0.014787225,0.040884787,0.892716832,0.880796499,0.900172677
lawis_river_schopka,53,1291,55,38,0.428273969,0.327631326,0.531273699,0.005112355,0.003895386,0.006652705,0.467709241,0.345835371,0.627576197,0.999999793,0.978761043,0.99999996,1.15E-05,8.77E-07,0.083762859,4.78E-07,3.42E-08,0.002938283,2.46E-06,1.47E-07,0.015937584,0,0,0,1.15E-05,5.67E-07,0.084248671,3.31E-08,1.55E-09,0.00022009,0,0,0,0,0,0,0.110198325,0.03873841,0.231216211,0.003862019,0.001437824,0.006152537,0.380682625,0.206479609,0.507543471,0,0,0,0.318068009,0.174365414,0.477710913,0.983061001,0.96298647,0.987762737,0.118346996,0.06677119,0.161896057,0,0,0,0.038212448,0.031876623,0.050939047,9.78E-07,7.80E-08,0.006802376,4.63E-07,2.28E-08,0.003377148,0.024463901,0.014469133,0.033073292,0.918856555,0.907464822,0.926181039
bulsa_river_ds_zam22,481.2116373,580.0452582,326.7540444,57.25890616,0.077792178,0.059954878,0.104372978,0.018977215,0.013279306,0.026284711,0.121174024,0.089104907,0.153541149,0.999999941,0.999999912,0.999999971,0.231517352,0.14012415,0.271635398,0.154713524,0.079359165,0.226287879,0.071362747,0.02295034,0.136118395,0,0,0,0.259083981,0.097721011,0.392502256,0.014271344,0.00496783,0.021360035,0,0,0,0,0,0,0.26980762,0.107268116,0.548423961,0.118845983,0.067701105,0.184936799,0.778288759,0.725603776,0.836088099,0,0,0,0.115376495,0.045999892,0.196441895,0.676532573,0.6052042,0.744853774,0.005551311,0.002586241,0.008254825,0,0,0,0.063003994,0.049957013,0.080761042,0.177073679,0.103181928,0.216649245,0.096127897,0.035908088,0.14445501,0.335854399,0.252842653,0.454537832,0.323145566,0.28649823,0.365765947
