site,catchment,shape_length,shape_area_m2,drainage_area_km2,parent_gauge
Bagsit,bagsit_river,56857.79192,89346618.67,89.34661867,bucao
Bancal,bancal_river,60812.26696,128646759.7,128.6467597,bucao
Bayaoas,bayaoas_river,38047.18395,63837878.82,63.83787882,bayaoas
Bucao,bucao_river,127498.962,650845243.2,650.8452432,bucao
"Bulsa, ds",bulsa_river_ds,78452.93082,144359483.4,144.3594834,bangot
"Bulsa, us",bulsa_river_us,104107.968,296606203.2,296.6062032,bangot
"Camiling, ds",camiling_river_ds,39502.74462,41819833.72,41.81983372,camiling
"Camiling, us",camiling_river_us,92505.7286,257065711.6,257.0657116,camiling
Dapya,dapya_river,39197.98076,77792650.72,77.79265072,maloma
Dumoloc,dumoloc_river,36336.28711,38125403.04,38.12540304,agno
Lawis,lawis_river,110206.7257,410164918.1,410.1649181,bucao
Malabobo,malabobo_river,26648.37018,26302595.49,26.30259549,agno
Maloma,maloma_river,21181.09632,17160004.89,17.16000489,maloma
Mapita,mapita_river,19854.80502,11272247.03,11.27224703,agno
Masinloc,masinloc_river,30751.95234,40116315.44,40.11631544,bucao
PMB1,pmb1,6534.338959,1179597.436,1.179597436,bayaoas
PMB2,pmb2,9971.406617,3085054.841,3.085054841,bayaoas
PMB3,pmb3,11009.41124,2573780.942,2.573780942,bayaoas
PMB4,pmb4,12468.89621,3423574.794,3.423574794,bayaoas
Salasa,salasa_river,49483.33665,79753796.48,79.75379648,bucao
SC1,sc1,10541.91731,3958856.007,3.958856007,bayaoas
SC2,sc2,23222.80406,6078584.565,6.078584565,bayaoas
SC3,sc3,12924.67389,3860403.571,3.860403571,bayaoas
SC4,sc4,9077.155121,2037247.31,2.03724731,bayaoas
SC5,sc5,19912.2017,4016705.706,4.016705706,bayaoas
SC6,sc6,27049.12659,21720393.99,21.72039399,bayaoas
SC7,sc7,16452.57508,8091830.196,8.091830196,bayaoas
SC1,sc1_est,10541.91731,3958856.007,3.958856007,bayaoas
SC4,sc4_est,9077.155121,2037247.31,2.03724731,bayaoas
SC5,sc5_est,19912.2017,4016705.706,4.016705706,bayaoas
SC6,sc6_est,27049.12659,21720393.99,21.72039399,bayaoas
SC7,sc7_est,16452.57508,8091830.196,8.091830196,bayaoas
PMB1,pmb1_est,6534.338959,1179597.436,1.179597436,bayaoas
PMB2,pmb2_est,9971.406617,3085054.841,3.085054841,bayaoas
PMB3,pmb3_est,11009.41124,2573780.942,2.573780942,bayaoas
PMB4,pmb4_est,12468.89621,3423574.794,3.423574794,bayaoas
