date,bagsit_river,bancal_river,bayaoas_river,bucao_river,bulsa_river_ds,bulsa_river_us,camiling_river_ds,camiling_river_us,dapya_river,dumoloc_river,lawis_river,malabobo_river,maloma_river,mapita_river,masinloc_river,pmb1,pmb2,pmb3,pmb4,sc1,sc2,sc3,sc4,sc5,sc6,sc7,salasa_river
1,5590880.466,9530850.907,1275601.381,44621851.79,11296373.97,26329682.89,1677471.199,12687338.17,3436793.019,748067.7005,15963942.85,731157.6257,652881.9785,217858.5378,1991881.457,39936.69326,102093.4999,85047.43226,114443.2351,89267.01589,136382.1353,87242.66875,45577.56443,88767.64589,487001.943,177472.8143,4824333.304
2,4843689.567,7839308.56,877087.6127,36737664.57,9088881.002,20964964.51,1516006.066,10794542.7,3061209.91,511871.4424,13877291.46,555996.8701,595722.0341,148359.5966,1689900.438,34396.74351,88079.25955,73446.85283,98795.60324,64063.30606,97715.68594,62607.21759,32618.93968,63290.8632,348470.7897,126259.1163,4188986.161
3,3607780.542,5971794,844833.3138,29659019.83,9721016.402,21242029.51,1587640.106,11335233.23,2609696.029,492475.644,12327266.45,570229.7881,538265.8471,142243.467,1331450.064,30068.09807,77418.98277,64648.48575,86773.32617,63662.22131,96999.1432,62192.31277,32356.48439,62614.47922,345441.5731,124582.7402,3228983.136
4,3480121.966,5587416.44,916027.2094,27950540.02,8651172.604,18807162.41,1609623.321,11229954.44,2563500.642,539777.4709,12097103.9,590532.578,536590.3787,156302.7654,1286655.963,29932.27122,77215.92797,64473.82644,86447.71258,68275.19347,104083.7666,66615.37997,34723.23746,67308.20594,370111.8031,133955.4016,3125825.912
5,4688055.439,7548681.168,1272079.651,41196939.91,10347311.31,23098204.45,1858016.985,13073169.85,5119729.225,754798.5656,14809635.53,768013.0653,1181734.494,219493.9796,1593110.029,37167.17557,95558.19649,79734.72885,107060.791,92571.4293,141146.9236,90172.99126,47090.99706,91397.67187,501017.0812,181921.8399,4202338.078
6,15730336.21,17236116.89,2686382.533,88849161.69,13786837.42,36710280.89,2639710.776,16762920.28,10787303.34,1582914.949,34710496.38,1335940.865,2351788.627,465054.6049,4825074.476,89665.51599,226968.3785,188501.0782,254720.2631,176254.3663,270204.6762,172377.4872,90505.63822,177526.5793,968320.4262,356641.9079,13348696.82
7,30542359.95,39576877.55,4689108.718,206580861.1,24005898.71,57066484.58,5201400.466,33135306.94,24785877.15,2701802.386,62237806.32,2513979.908,5227087.499,787695.806,8703114.112,170631.8231,433879.2337,359513.5971,484429.2195,310569.5136,476089.9087,304525.0358,159430.7392,311616.7572,1711471.503,626721.3598,26106197.06
8,45170845.69,63416092.93,12010368.56,337008353,35150297.86,83139238.55,7348440.449,50588506.47,42355411.33,7033995.262,120557312.4,4895749.7,9172911.068,2083640.993,14664375.79,325683.8255,830546.5406,690248.9768,928740.4235,716976.8662,1101746.667,702380.3752,369707.0679,729326.9486,3964854.204,1475077.144,39752172.51
9,32390331.7,49333855.71,9203016.655,246450390.3,34196706.73,81932989.65,6525342.546,44741892.33,25188898.92,5390027.038,99059117.76,4137790.692,5119149.706,1587853.149,12677265.33,267357.0033,684720.8,568938.2795,764209.1762,572154.9402,879366.7969,561151.5155,295065.2316,580857.6116,3168130.258,1172677.193,27907132
10,21022054.31,31783661.75,5821497.937,149179282.7,21221043.53,50884642.58,4309656.46,28605535.35,14453037.46,3416018.794,53620943.72,2506531.553,2865167.04,1008385.869,6804959.019,145887.7825,375159.4307,312113.6681,418454.0343,358361.1864,550995.7742,351427.8639,184948.841,364793.0313,1984723.379,738230.2873,17690775.72
11,9972392.097,14765392.9,3325535.136,73130913.02,15071345.17,33099477.63,3273904.613,21237370.06,7520146.844,1907977.31,30347125.05,1699599.345,1580602.865,557566.1422,3281511.905,79598.04022,205853.5424,171753.7987,229858.4524,215963.8161,331233.186,212146.2245,111026.197,217722.9577,1194511.058,439147.5,8719697.77
12,6437673.914,10438667.47,2697501.906,52063561.78,12989708.53,29384883.14,2238009.678,16581288.01,5189809.123,1572586.168,21511175.91,1183084.703,1097423.448,463303.2126,2352707.809,59107.40981,153385.7214,127895.9608,170778.9497,165770.2524,254727.2219,162511.5313,85471.07773,168435.9243,917400.9981,340427.6129,5652358.767
