,catchment,Ca_bslt_mol_km2_year,Ca_slct_mol_km2_year,Ca_carb_mol_km2_year,Ca_prec_mol_km2_year,Ca_umfc_mol_km2_year,Mg_bslt_mol_km2_year,Mg_slct_mol_km2_year,Mg_carb_mol_km2_year,Mg_prec_mol_km2_year,Mg_umfc_mol_km2_year,Na_bslt_mol_km2_year,Na_slct_mol_km2_year,Na_carb_mol_km2_year,Na_prec_mol_km2_year,Na_umfc_mol_km2_year,Cl_bslt_mol_km2_year,Cl_slct_mol_km2_year,Cl_carb_mol_km2_year,Cl_prec_mol_km2_year,Cl_umfc_mol_km2_year,Si_bslt_mol_km2_year,Si_slct_mol_km2_year,Si_carb_mol_km2_year,Si_prec_mol_km2_year,Si_umfc_mol_km2_year,Sr_bslt_mol_km2_year,Sr_slct_mol_km2_year,Sr_carb_mol_km2_year,Sr_prec_mol_km2_year,Sr_umfc_mol_km2_year,Sr8786_x_Sr_bslt_mol_km2_year,Sr8786_x_Sr_slct_mol_km2_year,Sr8786_x_Sr_carb_mol_km2_year,Sr8786_x_Sr_prec_mol_km2_year,Sr8786_x_Sr_umfc_mol_km2_year,norm_bslt_mol_km2_year,norm_slct_mol_km2_year,norm_carb_mol_km2_year,norm_prec_mol_km2_year,norm_umfc_mol_km2_year,annual_discharge_m3_yr
0,bagsit_river,89765.80329052804,8183.303409350642,118880.37719116254,9929.362149534347,39806.01069184794,263256.1118083549,20150.820780000427,24768.99753579014,9293.856442281405,1198521.2549310417,68819.8324841551,97019.27565151038,0.0,40727.25617142462,6386.272227138447,0.0,0.0,0.0,55555.31241740839,0.0,407675.34962749743,190654.95525059802,1125.975160372646,0.0,285531.25407098123,30.679958832500425,41.45091294726631,93.53518157906008,129.98063594254603,191.0503371931667,21.612976750353283,29.206603650857552,66.33548577822403,92.2810764012063,134.9339532622784,494644.7994462675,110184.94486430465,310282.39863421547,55043.42568593554,1025352.9661333975,183476521.851
1,bancal_river,794796.8150532218,103651.11735671037,291364.8202351036,1363188.0633134977,71643.1655615325,5386941.871111557,721536.5341914416,160114.3946008256,2982845.0724514886,4995329.788330621,2958894.7768538566,8356609.934630487,0.0,30997495.055484775,41487.3513299246,0.0,0.0,0.0,75947992.93993674,0.0,677485.370767316,693516.7579274972,748.6763001266464,0.0,103130.99465928567,479.16937943550005,1339.3709951432006,558.0852313222204,5323.184536990167,1811.9725577392792,338.03098337356,944.836630696656,396.3600369992808,3781.383987161298,1281.9446514196584,14105101.042532025,6359499.213449791,2990071.592757942,29574960.009266794,6196266.902498496,263028716.275
2,bayaoas_river,179113.23237064134,17948.166239421054,180187.37544064363,13727.93264673611,25563.78877482942,236600.28686100364,15800.09445104446,17712.040699040303,6134.367072861864,300659.41450134874,62809.80520422573,67525.46302403302,0.0,19908.18691343976,1269.093060647873,0.0,0.0,0.0,45448.09982915046,0.0,380086.3921342647,171753.9934263673,897.0400857116375,0.0,78403.65642719518,26.142026933012154,32.213385264104446,59.87946948360936,24.303062201327933,113.62502851649252,18.368251410934853,22.618644162811805,42.36857646004121,17.203860844189798,79.80054641811006,490969.2909478998,101620.84726610151,236001.23778765608,37440.333308759575,278927.53794950014,45619040.6129
3,bucao_river,456306.743241451,102889.83582451721,546539.489099218,112754.28058344567,62383.87570004864,687900.1966226349,121423.39696228369,62283.354595131794,53885.22578841249,882560.32967608,300132.4015789608,743538.811078053,0.0,276727.89838691097,5606.222253406545,0.0,0.0,0.0,2810176.205002985,0.0,714736.7169537086,629655.6660328162,1937.4626678275686,0.0,158959.30688971578,191.60401992442567,618.0748903420417,560.8521015397421,392.8975312560873,960.9297350570783,134.6203103282923,434.22261991264577,396.8520247686798,278.2515879059059,675.653803606792,1548282.5194086942,769595.9506746158,866914.1398651504,381644.284617816,848495.1668242783,1333428539.71
4,bulsa_river_ds,228488.18953356656,53141.66035548733,314884.0493388103,13747.2484662221,25642.807574622842,338835.64831350185,60551.89897914103,33379.95769490723,6475.66693650564,334774.2328670176,113655.56584335156,347384.7442993446,0.0,26745.366398159542,1676.7249375813246,0.0,0.0,0.0,81280.35395637882,0.0,428384.97608246317,422692.1056177643,1357.949466406127,0.0,78762.83543678669,135.844588384827,450.4910688008815,410.79580448673914,191.4845431124844,540.697135748787,95.36788270027482,316.516769495827,290.5314665220998,135.60180649674047,380.205304131828,693109.3768854265,389999.4364482296,452695.5728700913,40463.58702442683,323115.78831004514,205526593.238
5,bulsa_river_us,264553.4946578599,58322.222432087845,320388.91151090176,18342.12814740748,26157.893394008344,392789.78524167463,63785.50037297659,35495.6096093037,8938.574350753803,396413.9246316223,126624.33490913319,334329.9071609936,0.0,36965.05013236218,2004.3857110981855,0.0,0.0,0.0,78272.38346558034,0.0,536582.2153071043,472034.3444991022,1528.9480905035693,0.0,91001.59732761033,60.87270190448818,183.26109774815887,171.19562187374663,79.77990923354227,219.61619842005135,42.76450798258858,128.75496956047732,121.14424174819604,56.479940936799,154.29371024432075,807508.195883316,390344.599753067,466848.68762155296,56027.66204326175,364382.57696098613,482660040.78999996
6,camiling_river_ds,165937.7311428651,16887.693382672824,171014.51688405836,17562.20115803315,25232.85355854514,292437.73317630583,22839.24952764422,21428.53190418732,9288.658693525556,382223.4222050302,69836.37168178665,94049.5107612187,0.0,30631.38215692596,1570.7945535876224,0.0,0.0,0.0,68012.31193931523,0.0,308041.3183433808,161212.0949077144,752.997574705469,0.0,71611.91797798901,39.5589049585552,59.98048723578633,94.50598357408921,48.71686271463207,186.2913026466434,27.794658097397075,42.14357709259005,66.87654539212672,34.48902552401059,130.8651847980414,541191.1909436482,128518.95813171443,261905.42567386644,56235.18887078886,333089.88716636866,39785222.665
7,camiling_river_us,169044.24633478047,19654.012983879787,184760.3212367699,8662.72480902896,29811.102793473736,274139.85312729614,25384.025205188664,21501.008827956095,4426.991246819206,437559.45771157835,78698.99354334714,113971.87378953182,0.0,16069.760725015996,1929.6360116661606,0.0,0.0,0.0,45756.42165541376,0.0,326797.24748460285,189324.11191905785,816.3413419152869,0.0,93849.57329915007,29.096035393190554,49.99284655584669,76.40965583377789,31.322981065127937,155.37239042085463,20.433537062936338,35.10989690427498,54.03572569351654,22.177407178686742,109.18405464777996,540453.0799450707,145943.69481453975,274203.11021101626,26805.224936475337,398208.89843923016,270773057.83
8,dapya_river,158792.30861524434,13105.537603216384,99571.26994137283,13059.567658202646,46979.30640597525,504512.06121824204,26469.97864375078,21228.18197295955,12190.854794414821,1365834.1302958936,711408.5177913898,950504.2070870938,0.0,330618.336588153,48005.713763885986,0.0,0.0,0.0,2360953.5946401427,0.0,630840.357986378,244036.14809629135,821.2512950409637,0.0,271743.4832635505,2283.07848979362,2448.764968400065,3417.250983573644,3625.0059563719597,13613.919477070347,1606.8107445827832,1723.4116618532755,2421.8950133356857,2569.5675191932814,9561.813977271768,1504179.1631724115,274321.3610672131,448202.5816058072,120975.9710497819,1954600.8954845802,147071412.99199998
9,dumoloc_river,204197.83640570252,23042.74415090662,215914.7186942665,16869.928378175093,25185.378937662746,284130.93705960026,23588.721901776622,22167.658291841904,7582.867982291699,307754.4295341428,77398.89211151638,106339.23885402098,0.0,26850.43021941396,1360.9705709104257,0.0,0.0,0.0,56986.850506555806,0.0,377019.10876492324,197982.22474943165,962.6542439770403,0.0,73969.67910088116,31.360579276376896,48.67221447996489,77.664498276353,31.903781635918982,122.78894156469347,22.028575018538945,34.200415540813424,54.94956090023653,22.5885659866337,86.28321751842074,575746.9209748501,140731.09149128062,288694.8396472865,47385.941654776034,289825.9593240352,26652312.730399996
10,lawis_river,82868.2714396187,5889.265517633641,42560.15349317038,53991.543311297486,22046.837630181886,305487.49812347966,13056.963830449478,9372.270693922168,58702.97017702182,686438.4373969632,27958.248102919097,31304.157073523158,0.0,59312.841835936415,2069.154901394754,0.0,0.0,0.0,406481.0692535095,0.0,393890.40208479017,138819.27578848717,391.91184896904895,0.0,149974.01375399507,14.622556172861549,13.104367636253292,17.45510495493448,32.15756809448275,101.64644061018544,10.27918930643387,9.220166403789554,12.364345817263647,22.785877459523725,71.49052958321242,454157.0000486749,67913.81399110731,108186.94936362855,241260.97178432872,529539.8783397726,491119217.73
11,malabobo_river,163040.19483961907,16027.571060181082,161626.08293662776,11249.987432301707,23694.011903871848,209172.26047580084,15269.999525863761,15280.547671962428,4723.928973338265,274193.592411421,56701.42695307915,67404.75275215297,0.0,16741.47256895992,1082.3873687184162,0.0,0.0,0.0,37339.707147477624,0.0,276268.3441779834,135883.67862775025,641.921034761083,0.0,63042.0872509876,30.344897509381596,42.632815300702894,71.05186448319945,27.623854444992602,155.63065139020114,21.31850246215609,29.940417994199123,50.25521670169503,19.556580166785714,109.27390281403424,437250.6228105063,100806.35438014223,208775.98268960917,30273.94968154042,259101.30731210008,21488606.6932
12,maloma_river,186803.8691082086,31389.176187198325,138780.46536735172,33231.68228912022,31797.07358063143,506819.78306756984,63193.78408925593,26379.990480760734,28430.482742842254,795866.9510237434,144976.2842395945,306870.17982162465,0.0,112887.31833376938,3612.247327215122,0.0,0.0,0.0,200460.73033863332,0.0,699365.5394537422,522348.3717698611,1182.5565544942829,0.0,185330.6401665748,74.35959253500755,167.50066668156626,136.96360555975107,149.49645593175802,363.31570406466625,52.28351780840722,117.76074480317979,96.96746724288968,105.89967004230235,255.553233373989,933337.6977671963,334332.50912419916,317773.83408896386,163456.0530586093,662139.1936199174,30919324.9854
13,mapita_river,214809.33520558797,28512.50469644445,250689.8668567493,12006.694860486268,24715.35549257258,261021.1811482327,25376.86769438777,23294.40667322917,5080.796393122226,273214.2790563599,79260.63699324442,111488.20963209582,0.0,18656.08987097647,1285.4622623074858,0.0,0.0,0.0,39226.06004853592,0.0,400309.29400376533,232660.20875211206,1097.1303654021667,0.0,70406.42462321,36.129515181374664,61.81331941196683,99.68982614421297,33.53445295394854,140.8488353751473,25.385631096971792,43.44306309585679,70.52518669498033,23.744617690296913,98.87026092823137,566321.1957664869,155486.27636370156,316139.3061310962,31782.254072428535,259682.65450208323,7837758.1230999995
14,masinloc_river,119646.23484829962,11814.422601217113,112619.51338283536,81026.11876505373,26293.202938202583,413012.1717305535,32489.66993647011,25517.432863900467,77665.80073160629,782827.5501201265,346427.6264370086,929290.6676939945,0.0,287017.3923989571,9218.328317872589,0.0,0.0,0.0,2499574.5535212494,0.0,461852.45175223413,189402.47488727962,731.0626740715272,0.0,153725.84730062628,69.78202669188028,129.89152770988585,176.20534310045193,418.3311902379588,362.6846504159002,49.17251333650114,91.56304808149277,124.9937579376331,296.9488427436337,256.20384560589537,1011332.298223204,385079.9488062002,554458.0534197651,410196.5715710951,893799.2607458342,61202006.392
15,pmb1,243026.38051919173,13941.677041085117,567479.923027848,39740.298238661344,103338.24450651852,385738.32115329604,18620.093565752384,67709.92201137517,21387.156763117513,1567190.9376527106,62522.19703209742,60111.06740168204,0.0,54748.1999665076,5126.33135183331,0.0,0.0,0.0,138315.34666092962,0.0,427139.8714504213,130167.74552191752,2109.0319275515203,0.0,252359.34669541926,130.53401294304606,116.99971518667994,744.8269744342032,860.5187244243575,823.5664032717957,92.01678113748093,82.52189620263856,528.4695586458795,611.0366327641574,582.6529273565376,767762.6047057651,111467.16123925643,850910.710581441,125942.46360988426,1354597.8100953298,1309432.38205
16,pmb2,190718.41067825063,13460.213824664626,516373.9779783096,26968.2409436939,84696.01493130178,299534.0283736143,16733.101491407502,55375.79167857332,13060.957783469079,1293808.5343173982,36325.81001853479,46295.205127099296,0.0,26677.528847702724,3398.0104599015904,0.0,0.0,0.0,75556.62323768574,0.0,413346.288194316,156294.09587073518,2287.479681403635,0.0,271068.2826981221,140.3091300926279,152.34387603556905,907.7731390730794,748.4962425691208,1413.8709258811955,98.87458038118129,107.31766558438783,643.9768716709966,531.6063607713486,1001.3645073893822,558622.9202187869,100390.1560676689,727485.302389154,80563.96614324268,1156363.481635069,3350879.5139800003
