,catchment,Ca_bslt_mol_km2_year,Ca_slct_mol_km2_year,Ca_carb_mol_km2_year,Ca_prec_mol_km2_year,Ca_umfc_mol_km2_year,Mg_bslt_mol_km2_year,Mg_slct_mol_km2_year,Mg_carb_mol_km2_year,Mg_prec_mol_km2_year,Mg_umfc_mol_km2_year,Na_bslt_mol_km2_year,Na_slct_mol_km2_year,Na_carb_mol_km2_year,Na_prec_mol_km2_year,Na_umfc_mol_km2_year,Cl_bslt_mol_km2_year,Cl_slct_mol_km2_year,Cl_carb_mol_km2_year,Cl_prec_mol_km2_year,Cl_umfc_mol_km2_year,Si_bslt_mol_km2_year,Si_slct_mol_km2_year,Si_carb_mol_km2_year,Si_prec_mol_km2_year,Si_umfc_mol_km2_year,Sr_bslt_mol_km2_year,Sr_slct_mol_km2_year,Sr_carb_mol_km2_year,Sr_prec_mol_km2_year,Sr_umfc_mol_km2_year,Sr8786_x_Sr_bslt_mol_km2_year,Sr8786_x_Sr_slct_mol_km2_year,Sr8786_x_Sr_carb_mol_km2_year,Sr8786_x_Sr_prec_mol_km2_year,Sr8786_x_Sr_umfc_mol_km2_year,norm_bslt_mol_km2_year,norm_slct_mol_km2_year,norm_carb_mol_km2_year,norm_prec_mol_km2_year,norm_umfc_mol_km2_year,annual_discharge_m3_yr
0,bagsit_river,89765.80329178645,8183.303409462574,118880.37719281051,9929.362149664195,39806.01069245009,263256.1118117793,20150.82078024018,24768.997536108604,9293.856442391689,1198521.2549475385,68819.83248512665,97019.27565287211,0.0,40727.256172004185,6386.272227236024,0.0,0.0,0.0,55555.31241803242,0.0,407675.349633432,190654.95525324967,1125.9751603889445,0.0,285531.2540753536,30.67995883289597,41.45091294776106,93.5351815802387,129.98063594413424,191.05033719569988,21.61297675063195,29.206603651206258,66.33548577906002,92.28107640233412,134.93395326406898,494644.7994528973,110184.94486569872,310282.3986383319,55043.4256866206,1025352.9661479224,183476521.85371175
1,bancal_river,794796.8150006132,103651.11735111705,291364.8202221785,1363188.0632225748,71643.16555679355,5386941.870767467,721536.5341620396,160114.3945949864,2982845.0722597027,4995329.788014637,2958894.7766694794,8356609.934333619,0.0,30997495.05349835,41487.351327258606,0.0,0.0,0.0,75947992.93612628,0.0,677485.3707265384,693516.75789988,748.6763001038171,0.0,103130.99465317646,479.16937940581164,1339.3709950872908,558.0852313017102,5323.184536665656,1811.9725576239764,338.0309833526164,944.836630657217,396.3600369847148,3781.383986930796,1281.9446513380685,14105101.041639697,6359499.213202644,2990071.5926480936,29574960.007382862,6196266.902107522,263028716.26826698
2,bayaoas_river,179113.23237634057,17948.166240026414,180187.3754464319,13727.932647182575,25563.78877562846,236600.2868684271,15800.094451557554,17712.04069957532,6134.367073047328,300659.4145104828,62809.805206169236,67525.46302623325,0.0,19908.186914059846,1269.0930606841227,0.0,0.0,0.0,45448.09983060613,0.0,380086.39214465645,171753.9934313679,897.0400857356603,0.0,78403.65642933031,26.14202693387453,32.2133852652449,59.87946948554773,24.303062202151107,113.6250285202782,18.368251411541184,22.618644163612622,42.36857646141232,17.20386084477248,79.80054642076921,490969.2909634006,101620.84726950809,236001.2377949431,37440.33330993251,278927.5379580623,45619040.61432526
3,bucao_river,456306.74324486667,102889.83582659322,546539.4891062937,112754.28058629436,62383.87570054877,687900.1966272319,121423.39696427295,62283.35459576992,53885.22578961929,882560.3296822975,300132.401580645,743538.811090433,0.0,276727.8983933977,5606.222253447377,0.0,0.0,0.0,2810176.2050049533,0.0,714736.7169580883,629655.6660412874,1937.4626678449033,0.0,158959.30689064017,191.6040199261605,618.0748903554445,560.8521015474479,392.89753126225014,960.929735069818,134.62031032951148,434.2226199220421,396.85202477412554,278.25158791026547,675.6538036157764,1548282.5194191774,769595.9506887203,866914.1398753973,381644.2846272867,848495.16683113,1333428539.7213817
4,bulsa_river_ds,228488.18953273614,53141.66035529417,314884.04933766584,13747.248466172134,25642.80757452964,338835.6483122837,60551.898978923324,33379.95769478722,6475.666936482357,334774.232865814,113655.56584315735,347384.744298751,0.0,26745.366398113838,1676.7249375784595,0.0,0.0,0.0,81280.35395644652,0.0,428384.97608261753,422692.10561791656,1357.949466406616,0.0,78762.83543681508,135.84458838587557,450.49106880435875,410.79580448991,191.48454311396245,540.6971357529605,95.36788270101107,316.5167694982705,290.53146652434265,135.6018064977873,380.20530413476314,693109.3768832623,389999.4364470119,452695.5728686778,40463.58702430048,323115.7883090363,205526593.2376329
5,bulsa_river_us,264553.49465330096,58322.222430952155,320388.91150473617,18342.12814712051,26157.893393503,392789.78523472615,63785.50037171002,35495.60960861019,8938.574350614635,396413.92462381406,126624.33490717807,334329.9071550437,0.0,36965.05013183353,2004.3857110640902,0.0,0.0,0.0,78272.38346414187,0.0,536582.2152986325,472034.3444911147,1528.9480904770421,0.0,91001.59732599638,60.87270190346128,183.2610977445933,171.1956218705198,79.77990923212451,219.6161984159882,42.76450798186703,128.75496955797183,121.14424174591312,56.47994093579548,154.2937102414661,807508.1958694573,390344.5997455372,466848.6876127351,56027.66204241089,364382.57695406687,482660040.7817468
6,camiling_river_ds,165937.73114927663,16887.693383340582,171014.51689049636,17562.20115873671,25232.853559536634,292437.7331874984,22839.24952854762,21428.53190498891,9288.658693894024,382223.4222196355,69836.37168439996,94049.51076481347,0.0,30631.382158067565,1570.7945536446443,0.0,0.0,0.0,68012.3119420439,0.0,308041.31835381297,161212.09491316884,752.9975747304803,0.0,71611.9179803472,39.558904960277594,59.98048723860805,94.50598357825956,48.71686271668459,186.29130265581745,27.79465809860699,42.14357709457297,66.8765453950783,34.48902552546383,130.86518480448444,541191.1909644218,128518.95813691059,261905.42568359306,56235.18887299585,333089.8871789558,39785222.66638709
7,camiling_river_us,169044.24634449583,19654.012985013607,184760.321247221,8662.724809491381,29811.10279512265,274139.85314351675,25384.025206716524,21501.008829192608,4426.991247060128,437559.4577359506,78698.9935477948,113971.87379579828,0.0,16069.760725835567,1929.6360117686268,0.0,0.0,0.0,45756.42165786837,0.0,326797.2475018054,189324.1119289599,816.341341957969,0.0,93849.57330386149,29.096035394957617,49.992846558902926,76.409655838354,31.3229810668823,155.37239043029183,20.433537064177095,35.10989690642127,54.03572569675228,22.17740717992868,109.18405465441188,540453.0799762867,145943.69482300497,274203.11022665654,26805.22493790897,398208.898461121,270773057.84455436
8,dapya_river,158792.30861603163,13105.537603281358,99571.26994186649,13059.567658267395,46979.30640620816,504512.06122041395,26469.978643864728,21228.181973050934,12190.854794467301,1365834.1303017733,711408.5178030859,950504.2071027205,0.0,330618.3365935885,48005.71376467522,0.0,0.0,0.0,2360953.5946783572,0.0,630840.3579879242,244036.14809688952,821.2512950429767,0.0,271743.4832642166,2283.078489833735,2448.7649684430908,3417.2509836336876,3625.005956435653,13613.919477309551,22.485848432647458,24.117571746479754,33.89220813543373,35.95874994539986,133.80885120352505,1504179.1631876202,274321.36106998683,448202.581610339,120975.9710510051,1954600.8955043433,147071412.99230963
9,dumoloc_river,204197.8364100401,23042.744151163715,215914.71869789774,16869.928378674642,25185.378938193757,284130.9370656377,23588.721902043253,22167.658292179734,7582.867982510266,307754.4295406736,77398.89211293342,106339.23885539257,0.0,26850.43022021895,1360.9705709414488,0.0,0.0,0.0,56986.85050815568,0.0,377019.10877420846,197982.22475318637,962.6542439979306,0.0,73969.67910276508,31.36057927691423,48.67221448034093,77.66449827737256,31.903781636482563,122.78894156694082,22.028575018915816,34.20041554107785,54.94956090095761,22.588565987032425,86.28321752000156,575746.920987061,140731.09149281247,288694.8396519753,47385.941656174866,289825.95933047717,26652312.730939955
