Catchment,Ca_uM,Sr_nM,K_uM,Na_uM,Si_uM,Mg_uM,Li_nM,Re_nM,Cr_nM,Al_nM,Sr_ratio,Q_cv,drainage_area_km2,area_cv
bagsit_river,0.16292443102679863,0.47151236763796606,0.7311399248479847,0.46644211181256084,0.02932865439907191,0.27483327431886717,0.5395203660787157,,,0.9168924877958115,0.0015309821485813022,0.16743659766415406,89.34661867,0.03
bancal_river,1.3618803019647214,1.0052505743368536,1.2918475222862669,1.0688112692143452,1.3787057512359007,1.3088193475582266,1.2562819222390273,,0.9718044405828252,1.3791004694408084,0.0004613622572209542,0.1765612946332975,128.6467597,0.03
bayaoas_river,0.026584251624349815,0.07596231313848126,0.5521537906817903,0.08182211544080384,0.11736724744102049,0.1248308871926295,0.7138107766099431,1.4142135623730951,0.17796776252537266,0.5715552184094316,5.981015322843566e-05,0.12086724775531302,63.83787882,0.03
bucao_river,0.2214836649457904,0.37166607950570707,0.38842221775896746,0.3819020068484562,0.04033184612169041,0.15152657060815744,0.29252768898911186,,0.2416756281491121,0.8864120301331686,0.0002540061733485899,0.15727079289190815,650.8452432,0.03
bulsa_river_ds,0.10317332703932196,0.9890874985218425,0.45683761683883917,0.12371702803398943,0.12628047952228147,0.08373017315797016,0.5560629015916508,,,1.414213562373095,0.00010111127441408305,0.07844627422526872,144.3594834,0.03
bulsa_river_us,0.13064725128620328,0.1364070936043598,0.3713500074734638,0.12308963050115573,0.12402861718360134,0.1505550880108678,0.446143261434798,1.4142135623730951,0.37037621856948877,1.3520432914123106,4.849806909409481e-05,0.085101746169392,296.6062032,0.03
camiling_river_ds,0.15851001548329247,0.5260841733069761,0.4474346154643361,0.1928877804374251,0.1363923900914194,0.15668162707557903,0.2762889395737293,1.414213562373095,0.15630523643776836,0.5630915543100176,0.0004272186035244959,0.10386479304404173,41.81983372,0.03
camiling_river_us,0.12176241218259037,0.23428217953658537,0.6329134418547271,0.11406050281983048,0.1236953285357376,0.13085513291462422,0.2767906969133101,1.414213562373095,0.19835294550755714,0.7942323569780294,0.0002781913925629236,0.07702443546035737,257.0657116,0.03
dapya_river,0.5337607628656116,1.717478361367445,1.441208423435256,1.6521639117946845,0.1501726351693417,0.45180989008993455,1.7146343888497992,,1.306447242144942,1.6897227666183898,,0.16364285530170697,77.79265072,0.03
dumoloc_river,0.0574392428870712,0.19054565964456222,0.46833113682372407,0.16111541911363855,0.10094952294966683,0.10921172536720569,0.8077557953734067,1.414213562373095,0.8817699965155439,1.1057388077744874,6.63539970926785e-05,0.11908617541822902,38.12540304,0.03
